科目,层级,类型,2024-12-31,2024-09-30,2024-06-30,2024-03-31
一、营业总收入,0,item,32211584.59,24285567.81,16325109.33,8081362.11
营业收入,1,item,32211584.59,24285567.81,16325109.33,8081362.11
二、营业总成本,0,item,31662574.88,23834352.82,15927567.74,7936332.13
营业成本,1,item,30454636.06,23007731.51,15389861.74,7666832.39
营业税金及附加,1,item,131319.16,91823.90,63510.17,31961.37
销售费用,1,item,169061.44,116956.25,79411.92,40452.50
管理费用,1,item,401988.14,257253.77,171783.29,83335.26
财务费用,1,item,127638.02,115314.77,67439.45,35790.33
研发费用,1,item,377932.07,245272.63,155561.17,77960.28
资产减值损失,1,item,--,--,--,--
公允价值变动收益,1,item,5858.79,-6004.49,34264.14,20081.97
投资收益,1,item,209850.36,206395.69,102944.18,10071.54
其中:对联营企业和合营企业的投资收益,1,item,126491.07,140916.09,77900.99,4626.93
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,1000839.88,873151.74,658912.16,284313.01
加:营业外收入,1,item,25635.48,5648.24,3196.06,1083.29
减：营业外支出,1,item,92550.09,56268.24,38995.63,6593.93
其中：非流动资产处置损失,1,item,--,--,--,--
四、利润总额,0,item,933925.27,822531.74,623112.58,278802.37
减：所得税费用,1,item,77160.30,133684.14,98933.88,50111.52
五、净利润,0,item,856764.97,688847.59,524178.70,228690.85
归属于母公司所有者的净利润,1,item,736192.56,588212.23,454455.67,192622.36
少数股东损益,1,item,120572.41,100635.37,69723.03,36068.49
六、每股收益,0,section
基本每股收益(元/股),1,item,0.3400,0.2700,0.2100,0.0900
稀释每股收益(元/股),1,item,0.3400,0.2700,0.2100,0.0900
七、其他综合收益,0,item,13278.67,11448.96,1436.71,-18277.02
八、综合收益总额,0,item,870043.64,700296.55,525615.42,210413.83
归属于母公司所有者的综合收益总额,1,item,750360.11,599702.19,456161.92,174482.40
归属于少数股东的综合收益总额,1,item,119683.53,100594.37,69453.50,35931.43
