科目,层级,类型,2014-12-31,2014-09-30,2014-06-30,2014-03-31
流动资产,0,section
货币资金,1,item,1210375.74,1823729.01,1850569.12,1073316.39
交易性金融资产,1,item,18063.66,43431.54,30688.11,18178.80
衍生金融资产,1,item,--,--,--,--
应收票据及应收账款,1,item,--,--,--,--
应收票据,1,item,922211.08,990890.45,1192256.50,1400468.77
应收账款,1,item,1004907.20,1023832.00,1099807.40,1214687.50
应收款项融资,1,item,--,--,--,--
预付款项,1,item,292361.83,363961.90,366536.90,378758.13
其他应收款(合计),1,total,--,--,--,--
应收利息,1,item,54735.63,37576.43,18739.26,98851.47
应收股利,1,item,1129.86,3048.72,3048.72,6088.72
其他应收款,1,item,108017.95,163546.79,166908.63,177175.24
买入返售金融资产,1,item,59500.00,10000.00,10000.00,10000.00
存货,1,item,2681510.07,2913461.98,2886614.06,3259163.12
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,635880.00,610000.00,605000.00,476000.00
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,449907.31,20046.58,2933.29,7859.44
流动资产合计,1,total,7438600.34,8003525.40,8233101.98,8120547.58
非流动资产,0,section
发放贷款及垫款,1,item,294854.60,324260.33,335550.16,326729.95
可供出售金融资产,1,item,1044752.00,1014837.09,122624.43,108249.93
持有至到期投资,1,item,--,--,--,--
长期应收款,1,item,901206.86,901359.43,900377.42,1350376.79
长期股权投资,1,item,496310.90,488357.60,1389715.97,1376790.68
投资性房地产,1,item,45068.75,45560.09,46106.72,46622.82
在建工程(合计),1,total,--,--,--,--
在建工程,1,item,2675884.67,2154951.58,1808955.26,1599097.30
工程物资,1,item,17301.24,18446.68,14083.21,31205.65
固定资产及清理(合计),1,total,--,--,--,--
固定资产净额,1,item,8289700.02,8247411.37,8317722.07,8477370.51
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,--,--,--,--
无形资产,1,item,913678.61,913639.29,916251.30,917454.08
开发支出,1,item,--,--,--,--
商誉,1,item,--,--,--,--
长期待摊费用,1,item,109968.11,111055.38,90079.08,91124.89
递延所得税资产,1,item,182640.45,196634.50,204506.92,208118.29
其他非流动资产,1,item,455284.86,499671.49,512647.79,600224.78
非流动资产合计,1,total,15426651.07,14916184.82,14658620.32,15133365.67
资产总计,1,total,22865251.40,22919710.22,22891722.30,23253913.24
流动负债,0,section
短期借款,1,item,3148001.17,3403383.30,4093096.45,3743379.97
交易性金融负债,1,item,--,3047.81,3169.15,278.14
应付票据及应付账款,1,item,--,--,--,--
应付票据,1,item,541687.92,406586.66,305578.51,208356.77
应付账款,1,item,1991036.96,1980144.31,2006775.33,1885826.48
预收款项,1,item,1152293.82,1156643.95,1177268.39,1161744.21
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,174334.07,225245.84,200619.37,170498.60
应交税费,1,item,216202.83,236465.74,281019.94,234159.43
其他应付款(合计),1,total,--,--,--,--
应付利息,1,item,28130.14,26710.22,17230.37,23428.88
应付股利,1,item,1218.41,4056.25,3550.21,3553.16
其他应付款,1,item,114161.42,148262.82,128424.52,125985.33
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,744200.73,753368.87,450234.39,1200517.10
其他流动负债,1,item,--,--,--,186999.67
流动负债合计,1,total,8925426.73,9199680.90,9428086.77,9826522.45
非流动负债,0,section
长期借款,1,item,993643.52,867127.54,755540.20,515174.24
应付债券,1,item,302407.60,303856.88,303666.20,353235.53
租赁负债,1,item,--,--,--,--
长期应付职工薪酬,1,item,16206.12,--,--,--
长期应付款(合计),1,total,--,--,--,--
长期应付款,1,item,8928.72,--,--,--
专项应付款,1,item,28791.67,27107.51,71557.37,73959.34
预计非流动负债,1,item,--,--,--,--
递延所得税负债,1,item,42306.65,30907.75,31035.33,30525.64
长期递延收益,1,item,126867.54,--,--,--
其他非流动负债,1,item,190.24,141997.86,117952.42,266663.77
非流动负债合计,1,total,1519342.06,1370997.54,1279751.52,1239558.52
负债合计,1,total,10444768.79,10570678.44,10707838.29,11066080.97
所有者权益,0,section
实收资本(或股本),1,item,1647102.60,1647172.49,1647172.49,1647172.49
资本公积,1,item,3325394.60,3319483.06,3279030.08,3285300.62
减：库存股,1,item,8928.72,--,--,--
其他综合收益,1,item,-100481.78,-97456.18,--,--
专项储备,1,item,1004.06,2789.08,2964.87,2927.52
盈余公积,1,item,2585117.34,2450621.12,2452820.14,2452820.14
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,3976584.21,4031250.65,3855139.23,3855459.79
归属于母公司股东权益合计,1,total,11425792.31,11353860.23,11189922.94,11196344.76
少数股东权益,1,item,994690.30,995171.54,993961.07,991487.52
所有者权益(或股东权益)合计,1,total,12420482.61,12349031.77,12183884.02,12187832.28
负债和所有者权益(或股东权益)总计,1,total,22865251.40,22919710.22,22891722.30,23253913.24
