科目,层级,类型,2023-12-31,2023-09-30,2023-06-30,2023-03-31
一、营业总收入,0,item,34486807.33,25538417.23,17022216.34,7888581.81
营业收入,1,item,34450042.83,25501652.73,16985451.85,7860234.40
二、营业总成本,0,item,33511460.26,24760719.63,16667123.87,7739596.07
营业成本,1,item,32312703.82,23929884.38,16119880.86,7445619.51
营业税金及附加,1,item,135584.23,91269.52,53726.72,25221.40
销售费用,1,item,178206.10,130452.28,86345.69,43045.80
管理费用,1,item,426673.30,299837.56,206315.40,109671.37
财务费用,1,item,99360.88,66887.35,37714.21,29147.39
研发费用,1,item,341867.58,225324.18,146076.63,73346.61
资产减值损失,1,item,--,--,--,--
公允价值变动收益,1,item,16276.08,15709.99,28074.94,26049.18
投资收益,1,item,442110.36,314285.93,203728.83,20562.00
其中:对联营企业和合营企业的投资收益,1,item,275747.66,179820.86,111543.50,13353.90
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,1598351.62,1244068.80,690368.76,296149.14
加:营业外收入,1,item,21615.86,11566.02,5116.79,1816.80
减：营业外支出,1,item,111383.91,65173.43,43883.43,16588.75
其中：非流动资产处置损失,1,item,--,--,--,--
四、利润总额,0,item,1508583.57,1190461.40,651602.13,281377.19
减：所得税费用,1,item,134491.92,223581.58,128596.49,63242.28
五、净利润,0,item,1374091.65,966879.81,523005.64,218134.91
归属于母公司所有者的净利润,1,item,1194405.22,835041.94,455237.48,184495.40
少数股东损益,1,item,179686.43,131837.88,67768.16,33639.51
六、每股收益,0,section
基本每股收益(元/股),1,item,0.5400,0.3800,0.2000,0.0800
稀释每股收益(元/股),1,item,0.5500,0.3800,0.2100,0.0800
七、其他综合收益,0,item,-6081.39,-171.94,20457.74,3084.07
八、综合收益总额,0,item,1368010.26,966707.88,543463.38,221218.98
归属于母公司所有者的综合收益总额,1,item,1187869.55,833310.26,474056.83,186306.62
归属于少数股东的综合收益总额,1,item,180140.70,133397.62,69406.55,34912.36
