科目,层级,类型,2016-12-31,2016-09-30,2016-06-30,2016-03-31
流动资产,0,section
货币资金,1,item,1047674.37,964090.18,1352525.57,1332883.65
交易性金融资产,1,item,112286.38,30351.31,165810.92,48918.23
衍生金融资产,1,item,--,--,--,--
应收票据及应收账款,1,item,2063194.25,--,1688496.20,1709206.64
应收票据,1,item,1021728.68,792019.14,777814.14,891026.81
应收账款,1,item,1041465.57,1083773.95,910682.05,818179.83
应收款项融资,1,item,--,--,--,--
预付款项,1,item,780028.94,687109.06,482091.73,414906.53
其他应收款(合计),1,total,191240.71,--,175849.54,193245.04
应收利息,1,item,14006.31,11129.17,4901.98,38898.18
应收股利,1,item,2385.26,2385.26,2385.26,15086.98
其他应收款,1,item,174849.13,189831.14,168562.29,139259.88
买入返售金融资产,1,item,--,--,--,200000.00
存货,1,item,3577920.91,2912149.29,2655927.11,2404888.12
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,482544.12,481189.67,466118.22,450000.00
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,1966071.99,2987892.83,3311783.00,2889716.37
流动资产合计,1,total,10220961.66,10141921.00,10298602.28,9643764.58
非流动资产,0,section
发放贷款及垫款,1,item,331769.19,257097.67,200577.18,156411.47
可供出售金融资产,1,item,1312008.90,1271440.95,1257133.84,1099135.76
持有至到期投资,1,item,--,--,--,--
长期应收款,1,item,21856.50,16935.34,12145.05,460333.55
长期股权投资,1,item,530977.15,520168.95,514750.20,504180.74
投资性房地产,1,item,36431.28,36895.50,37315.44,36925.25
在建工程(合计),1,total,935595.67,--,2332267.11,2725031.86
在建工程,1,item,930990.62,1727363.55,2328351.20,2719521.12
工程物资,1,item,4605.05,4968.33,3915.91,5510.74
固定资产及清理(合计),1,total,11810221.81,--,10354401.22,9969654.32
固定资产净额,1,item,11810221.81,11078173.68,10354401.22,9969654.32
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,--,--,--,--
无形资产,1,item,1164834.55,1166655.92,1169468.42,1174236.06
开发支出,1,item,--,--,--,--
商誉,1,item,--,--,--,--
长期待摊费用,1,item,113129.17,112314.48,107008.73,104938.17
递延所得税资产,1,item,137469.35,162369.02,168083.67,154465.39
其他非流动资产,1,item,183016.22,190990.57,174779.07,165236.14
非流动资产合计,1,total,16577309.79,16545373.97,16327929.93,16550548.73
资产总计,1,total,26798271.45,26687294.97,26626532.20,26194313.31
流动负债,0,section
短期借款,1,item,2775383.45,2696211.89,3361025.42,3271370.44
交易性金融负债,1,item,3516.19,1482.24,5787.40,21541.12
应付票据及应付账款,1,item,3397861.22,--,2866112.28,2606214.61
应付票据,1,item,776797.33,598350.73,486267.62,379260.60
应付账款,1,item,2621063.89,2555946.13,2379844.67,2226954.00
预收款项,1,item,2174525.30,1714085.39,1424335.50,1313863.99
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,179442.74,239659.15,213478.19,173246.99
应交税费,1,item,372863.32,472342.95,364015.76,349242.43
其他应付款(合计),1,total,317691.73,--,286610.23,277063.99
应付利息,1,item,34703.35,37296.67,25991.05,21518.88
应付股利,1,item,2833.21,1132.99,4054.42,1013.85
其他应付款,1,item,280155.17,270188.30,256564.76,254531.26
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,15469.72,206889.43,11390.86,19820.04
其他流动负债,1,item,1805379.45,2048074.24,2033417.43,2018454.38
流动负债合计,1,total,11988961.89,11450423.54,11269129.59,11281019.20
非流动负债,0,section
长期借款,1,item,29646.41,813069.11,1168075.06,935226.82
应付债券,1,item,1407692.08,1405083.63,1396421.74,1384933.13
租赁负债,1,item,--,--,--,--
长期应付职工薪酬,1,item,22221.66,33288.84,32863.51,32837.20
长期应付款(合计),1,total,31173.93,--,34002.84,37550.26
长期应付款,1,item,4987.93,5430.44,8145.84,8258.59
专项应付款,1,item,26186.00,25857.00,25857.00,29291.67
预计非流动负债,1,item,--,--,--,--
递延所得税负债,1,item,65551.24,48841.93,48798.86,45452.87
长期递延收益,1,item,110874.18,103681.67,107789.26,106524.14
其他非流动负债,1,item,31.57,--,792.38,791.93
非流动负债合计,1,total,1667191.07,2435252.62,2788743.67,2543316.35
负债合计,1,total,13656152.96,13885676.16,14057873.26,13824335.54
所有者权益,0,section
实收资本(或股本),1,item,1645039.36,1646692.72,1646692.72,1646751.75
资本公积,1,item,3376906.81,3377793.02,3377601.27,3374329.24
减：库存股,1,item,4987.93,8145.84,8145.84,8258.59
其他综合收益,1,item,-6008.98,-56371.73,-70667.86,-88512.01
专项储备,1,item,2565.44,2019.09,2456.57,1955.68
盈余公积,1,item,2789448.44,2652048.23,2651665.49,2651665.49
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,4323639.35,4175795.00,3962891.47,3867697.33
归属于母公司股东权益合计,1,total,12126602.49,11789830.48,11562493.83,11445628.90
少数股东权益,1,item,1015516.00,1011788.33,1006165.11,924348.87
所有者权益(或股东权益)合计,1,total,13142118.49,12801618.81,12568658.94,12369977.77
负债和所有者权益(或股东权益)总计,1,total,26798271.45,26687294.97,26626532.20,26194313.31
