科目,层级,类型,2015-12-31,2015-09-30,2015-06-30,2015-03-31
流动资产,0,section
货币资金,1,item,781694.31,1279534.62,1454960.72,1415030.62
交易性金融资产,1,item,87287.50,2631.43,172666.34,1762.65
衍生金融资产,1,item,--,--,--,--
应收票据及应收账款,1,item,--,--,--,--
应收票据,1,item,819259.87,779813.75,924329.08,884614.05
应收账款,1,item,915806.33,905781.18,1040328.91,1010219.49
应收款项融资,1,item,--,--,--,--
预付款项,1,item,415960.88,442436.08,348526.11,317597.23
其他应收款(合计),1,total,--,--,--,--
应收利息,1,item,29416.20,20553.62,11035.49,71337.57
应收股利,1,item,16286.98,13831.58,13831.58,1129.86
其他应收款,1,item,105723.48,152282.53,141265.35,126873.13
买入返售金融资产,1,item,214000.00,9800.00,10000.00,9900.00
存货,1,item,2351576.07,2589542.86,2591414.11,2662022.19
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,450000.00,564040.00,479690.00,629690.00
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,803286.74,761790.23,577336.82,522188.04
流动资产合计,1,total,6990298.37,7522037.89,7770384.52,7652364.83
非流动资产,0,section
发放贷款及垫款,1,item,223840.50,304046.59,251809.52,269672.29
可供出售金融资产,1,item,1092402.48,1005996.57,1060696.67,1044196.73
持有至到期投资,1,item,--,145559.21,100000.00,100000.00
长期应收款,1,item,457907.32,455373.81,450952.61,901088.62
长期股权投资,1,item,501036.69,498151.10,502129.15,495196.23
投资性房地产,1,item,37333.72,43521.70,44036.81,44553.48
在建工程(合计),1,total,--,--,--,--
在建工程,1,item,3362838.95,3295852.45,3468127.45,2980962.91
工程物资,1,item,5543.36,21469.80,4799.09,18776.63
固定资产及清理(合计),1,total,--,--,--,--
固定资产净额,1,item,9106756.03,8821701.12,8079536.62,8177200.72
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,--,--,--,--
无形资产,1,item,925146.45,895490.01,902370.88,907011.04
开发支出,1,item,--,--,--,--
商誉,1,item,--,--,--,--
长期待摊费用,1,item,105717.74,104547.45,106278.98,108130.99
递延所得税资产,1,item,152095.60,191882.04,168010.09,182616.03
其他非流动资产,1,item,451397.50,352734.86,392271.23,431078.73
非流动资产合计,1,total,16422016.32,16136326.71,15531019.08,15660484.41
资产总计,1,total,23412314.70,23658364.60,23301403.60,23312849.24
流动负债,0,section
短期借款,1,item,2711103.19,4278295.39,3292305.95,3105088.00
交易性金融负债,1,item,360.87,4471.20,1179.89,8523.07
应付票据及应付账款,1,item,--,--,--,--
应付票据,1,item,443389.24,471680.74,413614.12,418506.98
应付账款,1,item,2138590.53,2155562.47,1852096.26,1849596.24
预收款项,1,item,1246788.16,1174168.37,1135244.29,1149220.82
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,167175.35,189159.02,166437.99,155976.43
应交税费,1,item,169831.51,155446.53,285197.49,279873.02
其他应付款(合计),1,total,--,--,--,--
应付利息,1,item,19960.78,38942.25,31271.70,29654.40
应付股利,1,item,62.58,3680.72,5550.27,6849.53
其他应付款,1,item,228304.41,168633.92,142688.22,128182.69
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,20811.49,31172.66,430111.41,560618.95
其他流动负债,1,item,1005734.43,--,--,--
流动负债合计,1,total,9185983.61,9535750.67,8654105.31,8600423.61
非流动负债,0,section
长期借款,1,item,911102.64,948056.29,1402552.92,1182551.67
应付债券,1,item,874737.40,670766.68,643399.70,633685.41
租赁负债,1,item,--,--,--,--
长期应付职工薪酬,1,item,32830.73,16556.59,16531.61,16514.94
长期应付款(合计),1,total,--,--,--,--
长期应付款,1,item,8258.59,8596.83,8596.83,8928.72
专项应付款,1,item,29291.67,29291.67,28791.67,28791.67
预计非流动负债,1,item,--,--,--,--
递延所得税负债,1,item,45470.16,42344.79,42362.66,42134.61
长期递延收益,1,item,109283.95,102942.44,103458.85,124339.92
其他非流动负债,1,item,713.45,195.94,185.22,189.67
非流动负债合计,1,total,2011688.59,1818751.24,2245879.46,2037136.60
负债合计,1,total,11197672.20,11354501.91,10899984.76,10637560.20
所有者权益,0,section
实收资本(或股本),1,item,1646751.75,1646928.84,1646928.84,1647102.60
资本公积,1,item,3373988.21,3375031.32,3373812.48,3374866.32
减：库存股,1,item,8258.59,8596.83,8596.83,8928.72
其他综合收益,1,item,-99758.80,-108842.88,-100066.63,-104832.90
专项储备,1,item,1091.56,1147.85,1128.64,1420.78
盈余公积,1,item,2651665.49,2585117.34,2585117.34,2585117.34
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,3714844.76,3905508.36,3997553.96,4131299.23
归属于母公司股东权益合计,1,total,11280324.38,11396294.00,11495877.81,11626044.66
少数股东权益,1,item,934318.11,907568.70,905541.03,1049244.37
所有者权益(或股东权益)合计,1,total,12214642.49,12303862.69,12401418.84,12675289.04
负债和所有者权益(或股东权益)总计,1,total,23412314.70,23658364.60,23301403.60,23312849.24
