科目,层级,类型,2020-12-31,2020-09-30,2020-06-30,2020-03-31
流动资产,0,section
货币资金,1,item,1688903.00,1981697.33,2305504.14,2202377.70
交易性金融资产,1,item,282823.06,110312.80,129799.44,119058.83
衍生金融资产,1,item,4920.08,1124.42,3538.64,2792.73
应收票据及应收账款,1,item,1068618.06,1314511.73,1296347.37,1236771.69
应收票据,1,item,105495.89,79335.90,61152.03,74130.02
应收账款,1,item,963122.17,1235175.83,1235195.34,1162641.66
应收款项融资,1,item,2954510.88,3171419.04,2622436.92,2069816.97
预付款项,1,item,506298.44,625624.33,512735.75,506201.11
其他应收款(合计),1,total,245131.84,201125.32,197060.16,172727.47
应收利息,1,item,--,2147.55,1858.78,1330.24
应收股利,1,item,38486.82,54.51,114.51,114.51
其他应收款,1,item,206645.02,--,195086.88,--
买入返售金融资产,1,item,949687.45,--,264672.80,--
存货,1,item,3935697.92,4455186.86,4351365.70,4901471.19
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,267159.75,230440.29,239647.31,--
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,2651324.36,3124772.03,2965460.96,2610586.91
流动资产合计,1,total,14641188.13,15267548.78,14935010.86,13875583.90
非流动资产,0,section
发放贷款及垫款,1,item,40975.83,22176.88,19690.00,32200.00
可供出售金融资产,1,item,--,--,--,--
持有至到期投资,1,item,24300.00,36300.00,36300.00,81300.00
长期应收款,1,item,22590.83,22999.73,24263.78,25465.94
长期股权投资,1,item,2076839.91,1970940.35,1975485.61,1988602.62
投资性房地产,1,item,50719.37,52259.47,53820.50,53985.31
在建工程(合计),1,total,1775145.31,1412669.41,1083824.41,965516.65
在建工程,1,item,1773083.15,--,1080679.79,--
工程物资,1,item,2062.16,--,3144.62,--
固定资产及清理(合计),1,total,14020350.47,13888890.99,14144200.72,14374698.57
固定资产净额,1,item,14020350.47,--,14144200.72,--
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,--,--,--,--
无形资产,1,item,1201893.48,1165957.12,1174795.18,1180384.06
开发支出,1,item,--,--,--,--
商誉,1,item,56051.86,53382.76,53161.72,52145.37
长期待摊费用,1,item,199875.28,158715.33,162620.10,164589.28
递延所得税资产,1,item,304026.14,328837.77,343623.81,333375.59
其他非流动资产,1,item,163831.50,203891.83,252075.02,239855.38
非流动资产合计,1,total,20981317.06,20364130.57,20364848.15,20724835.97
资产总计,1,total,35622505.19,35631679.35,35299859.01,34600419.86
流动负债,0,section
短期借款,1,item,1245012.63,1687834.25,2035855.42,1842776.36
交易性金融负债,1,item,--,--,--,--
应付票据及应付账款,1,item,4464566.14,4514705.07,4135766.48,4267186.44
应付票据,1,item,1035507.28,1125612.75,1022650.68,1273092.23
应付账款,1,item,3429058.86,3389092.32,3113115.80,2994094.21
预收款项,1,item,--,--,--,--
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,149510.28,253509.51,308588.90,279613.22
应交税费,1,item,223281.21,210300.44,143489.79,157625.40
其他应付款(合计),1,total,389281.26,350524.39,313557.15,183071.12
应付利息,1,item,--,--,--,--
应付股利,1,item,90354.96,93853.25,96796.09,6066.63
其他应付款,1,item,298926.30,--,216761.06,--
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,137100.60,105684.34,61732.72,41506.47
其他流动负债,1,item,2269937.70,3525496.45,3824421.55,3726468.28
流动负债合计,1,total,12908872.05,14181720.41,14385816.41,13481241.88
非流动负债,0,section
长期借款,1,item,1036349.74,290493.27,175672.68,200904.03
应付债券,1,item,1200000.00,1200000.00,1200000.00,1200000.00
租赁负债,1,item,--,--,--,--
长期应付职工薪酬,1,item,172683.52,176099.37,175421.19,174527.08
长期应付款(合计),1,total,88152.15,94558.21,94669.68,94752.86
长期应付款,1,item,71708.01,--,68473.68,--
专项应付款,1,item,26194.71,--,26196.00,--
预计非流动负债,1,item,--,--,--,--
递延所得税负债,1,item,104070.83,98427.60,97377.22,88521.95
长期递延收益,1,item,122057.60,114737.69,116014.29,118200.28
其他非流动负债,1,item,16053.07,--,--,--
非流动负债合计,1,total,2739366.91,1974316.15,1859155.06,1876906.21
负债合计,1,total,15648238.96,16156036.56,16244971.48,15358148.09
所有者权益,0,section
实收资本(或股本),1,item,2226944.77,2227128.81,2227128.81,2227128.81
资本公积,1,item,5046615.00,5052290.55,5045456.55,4988301.88
减：库存股,1,item,45272.55,67910.28,67910.28,67910.28
其他综合收益,1,item,-98555.10,-74077.82,-65652.27,-78222.05
专项储备,1,item,3541.40,4805.95,4340.67,3871.12
盈余公积,1,item,3633530.06,3420802.15,3420802.15,3420802.15
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,7670324.88,7460706.08,7075046.39,7449051.22
归属于母公司股东权益合计,1,total,18437128.48,18023745.44,17639212.01,17943022.84
少数股东权益,1,item,1537137.75,1451897.35,1415675.53,1299248.93
所有者权益(或股东权益)合计,1,total,19974266.23,19475642.79,19054887.53,19242271.77
负债和所有者权益(或股东权益)总计,1,total,35622505.19,35631679.35,35299859.01,34600419.86
