科目,层级,类型,2015-12-31,2015-09-30,2015-06-30,2015-03-31
一、营业总收入,0,item,16411713.55,12244910.32,8094365.38,4147316.16
营业收入,1,item,16378954.85,12219173.82,8077060.72,4138594.85
二、营业总成本,0,item,16331054.90,11982800.03,7694223.69,3924676.42
营业成本,1,item,14925835.62,11004392.34,7152536.97,3662474.82
营业税金及附加,1,item,46620.14,36286.74,28432.22,10600.60
销售费用,1,item,215276.27,149511.38,97149.78,49846.80
管理费用,1,item,728661.23,516015.42,349414.08,174422.50
财务费用,1,item,239256.72,220971.23,44427.18,19941.99
研发费用,1,item,--,--,--,--
资产减值损失,1,item,148672.97,35105.34,9050.51,935.21
公允价值变动收益,1,item,565.80,-3922.88,221.40,-7594.23
投资收益,1,item,103820.75,27181.95,42472.15,2951.37
其中:对联营企业和合营企业的投资收益,1,item,7802.25,6855.36,8534.17,742.35
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,185045.19,285369.36,442835.24,217996.87
加:营业外收入,1,item,66822.80,49890.10,32390.78,4810.96
减：营业外支出,1,item,66454.92,40013.90,35300.94,2312.69
其中：非流动资产处置损失,1,item,63869.01,37819.49,33322.42,2066.16
四、利润总额,0,item,185413.07,295245.56,439925.08,220495.14
减：所得税费用,1,item,114006.06,63175.28,110547.52,56822.58
五、净利润,0,item,71407.02,232070.28,329377.56,163672.56
归属于母公司所有者的净利润,1,item,101287.17,225402.62,317448.22,154715.02
少数股东损益,1,item,-29880.15,6667.67,11929.34,8957.54
六、每股收益,0,section
基本每股收益(元/股),1,item,0.0600,0.1400,0.1900,0.0900
稀释每股收益(元/股),1,item,0.0600,0.1400,0.1900,0.0900
七、其他综合收益,0,item,137.78,-9739.32,-22.13,-4059.57
八、综合收益总额,0,item,71544.80,222330.96,329355.44,159612.99
归属于母公司所有者的综合收益总额,1,item,102010.16,217041.52,317863.38,150363.90
归属于少数股东的综合收益总额,1,item,-30465.36,5289.45,11492.06,9249.09
