科目,层级,类型,2023-12-31,2023-09-30,2023-06-30,2023-03-31
流动资产,0,section
货币资金,1,item,2596614.29,3701556.46,3657871.11,2176733.56
交易性金融资产,1,item,773.31,851.19,816.02,256709.55
衍生金融资产,1,item,4773.30,1501.97,--,2228.27
应收票据及应收账款,1,item,2328367.72,2387828.17,2533500.20,2286830.65
应收票据,1,item,908645.86,764270.23,889543.88,707187.49
应收账款,1,item,1419721.86,1623557.93,1643956.32,1579643.16
应收款项融资,1,item,902098.17,1251236.63,934321.67,839961.62
预付款项,1,item,341676.44,807163.97,620033.69,905787.10
其他应收款(合计),1,total,81054.00,114373.87,123629.83,197322.41
应收利息,1,item,--,--,--,--
应收股利,1,item,258.31,19.38,19.38,700.00
其他应收款,1,item,80795.69,--,123610.45,--
买入返售金融资产,1,item,--,--,--,--
存货,1,item,4471574.91,4589385.86,4559774.95,5332655.24
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,5271.30,37770.46,37770.46,39665.94
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,2713413.20,2529114.53,2652720.61,4863360.90
流动资产合计,1,total,13663458.23,15649255.53,15329381.85,17333881.32
非流动资产,0,section
发放贷款及垫款,1,item,--,--,--,131592.06
可供出售金融资产,1,item,--,--,--,--
持有至到期投资,1,item,450125.55,--,--,--
长期应收款,1,item,22652.83,23621.29,24538.41,83205.31
长期股权投资,1,item,4404596.43,3206167.14,3154893.41,2777385.71
投资性房地产,1,item,49430.15,50620.44,51758.43,56194.65
在建工程(合计),1,total,1328958.41,1296583.55,1271721.90,1206143.06
在建工程,1,item,1320706.73,--,1268140.92,--
工程物资,1,item,8251.69,--,3580.98,--
固定资产及清理(合计),1,total,15083408.94,14968652.82,15138560.17,15052811.02
固定资产净额,1,item,15083408.94,--,15138560.17,--
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,563951.77,570798.97,577949.67,542413.19
无形资产,1,item,1192097.21,1171897.07,1183149.73,1199402.82
开发支出,1,item,--,--,--,--
商誉,1,item,55912.68,54080.97,56032.21,53477.30
长期待摊费用,1,item,233800.71,211320.69,220229.30,221446.82
递延所得税资产,1,item,279387.13,321728.26,350578.25,361395.96
其他非流动资产,1,item,125456.78,150796.64,168861.66,121099.79
非流动资产合计,1,total,23941690.13,22182138.51,22360381.15,22023588.33
资产总计,1,total,37605148.36,37831394.04,37689763.00,39357469.65
流动负债,0,section
短期借款,1,item,365771.85,503166.25,478595.88,413765.07
交易性金融负债,1,item,--,--,--,--
应付票据及应付账款,1,item,6282559.38,6325315.13,6475259.32,6499600.12
应付票据,1,item,907794.02,803934.69,914505.63,974921.77
应付账款,1,item,5374765.36,5521380.44,5560753.69,5524678.35
预收款项,1,item,--,--,--,--
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,165046.93,275253.22,225098.87,170893.61
应交税费,1,item,147269.75,163629.43,160405.09,129816.69
其他应付款(合计),1,total,833903.58,575983.38,322473.90,350351.37
应付利息,1,item,--,--,--,--
应付股利,1,item,1746.91,246323.46,4397.86,1480.43
其他应付款,1,item,832156.67,--,318076.04,--
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,1006154.07,1032951.88,545034.10,870495.31
其他流动负债,1,item,257712.08,309290.31,582534.53,267362.50
流动负债合计,1,total,11396063.86,11611046.27,11116907.81,13555458.70
非流动负债,0,section
长期借款,1,item,3114949.24,3290350.82,3276216.43,2616282.21
应付债券,1,item,50000.00,50000.00,550000.00,250000.00
租赁负债,1,item,549216.52,537903.04,539356.53,499716.53
长期应付职工薪酬,1,item,117026.83,113957.52,118819.81,122614.20
长期应付款(合计),1,total,158746.70,166240.19,219915.64,204359.14
长期应付款,1,item,165379.04,--,198520.75,--
专项应付款,1,item,26186.00,--,26186.00,--
预计非流动负债,1,item,--,--,--,--
递延所得税负债,1,item,41355.04,127557.50,131011.75,148379.30
长期递延收益,1,item,164008.94,143822.86,146205.27,145993.27
其他非流动负债,1,item,--,--,--,--
非流动负债合计,1,total,4195303.27,4429831.94,4981525.43,3987344.65
负债合计,1,total,15591367.13,16040878.21,16098433.24,17542803.35
所有者权益,0,section
实收资本(或股本),1,item,2211985.80,2226220.02,2226220.02,2226220.02
资本公积,1,item,4967913.16,5027811.29,5010831.52,5019298.65
减：库存股,1,item,338742.71,229569.57,229569.57,240772.97
其他综合收益,1,item,-54286.07,-50489.67,-29938.64,-46946.77
专项储备,1,item,2373.77,3366.14,3090.69,3727.24
盈余公积,1,item,4277697.47,4106404.34,4106404.34,4106404.34
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,8965590.24,8770589.74,8634621.26,8585047.87
归属于母公司股东权益合计,1,total,20032531.66,19854332.30,19721659.63,19652978.39
少数股东权益,1,item,1981249.57,1936183.53,1869670.13,2161687.92
所有者权益(或股东权益)合计,1,total,22013781.23,21790515.83,21591329.76,21814666.31
负债和所有者权益(或股东权益)总计,1,total,37605148.36,37831394.04,37689763.00,39357469.65
