科目,层级,类型,2019-12-31,2019-09-30,2019-06-30,2019-03-31
流动资产,0,section
货币资金,1,item,1343884.91,2068933.16,1856677.76,1787782.01
交易性金融资产,1,item,83186.43,65468.48,84860.36,131262.62
衍生金融资产,1,item,4851.20,16770.89,1723.17,1704.46
应收票据及应收账款,1,item,1150453.12,4147827.50,4355885.80,4058103.50
应收票据,1,item,62677.10,2853576.10,2948459.71,2723096.12
应收账款,1,item,1087776.02,1294251.40,1407426.10,1335007.38
应收款项融资,1,item,2811180.87,--,--,--
预付款项,1,item,500245.85,511342.35,586201.62,661972.92
其他应收款(合计),1,total,168159.27,174017.48,166509.59,260399.58
应收利息,1,item,1078.58,1085.05,1383.89,736.96
应收股利,1,item,114.51,5038.73,21722.82,1587.98
其他应收款,1,item,166966.17,--,143402.88,--
买入返售金融资产,1,item,298860.00,309903.80,50000.00,--
存货,1,item,4029974.55,4540371.11,4492350.02,4580826.36
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,--,--,--,--
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,2665652.47,1372938.98,1272886.83,1336604.66
流动资产合计,1,total,13056448.67,13207573.75,12867095.16,12818656.12
非流动资产,0,section
发放贷款及垫款,1,item,19223.21,649620.68,554363.15,548484.03
可供出售金融资产,1,item,--,--,--,--
持有至到期投资,1,item,76300.00,66300.00,63500.00,57000.00
长期应收款,1,item,26456.10,27559.12,28521.59,29454.94
长期股权投资,1,item,1939264.72,1944473.24,1839870.59,1931840.34
投资性房地产,1,item,54719.65,44138.93,44978.58,45818.83
在建工程(合计),1,total,846776.68,1005952.23,994721.70,868362.32
在建工程,1,item,843664.24,--,987893.30,--
工程物资,1,item,3112.44,--,6828.41,--
固定资产及清理(合计),1,total,14743591.70,14358551.42,14476088.63,14746381.00
固定资产净额,1,item,14743591.70,--,14476088.63,--
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,--,--,--,--
无形资产,1,item,1188695.64,1205420.84,1213831.30,1221869.88
开发支出,1,item,--,--,--,--
商誉,1,item,52190.11,51778.09,52200.12,50488.61
长期待摊费用,1,item,150850.01,142803.95,133465.40,137091.95
递延所得税资产,1,item,321894.83,309963.58,310844.19,285956.26
其他非流动资产,1,item,242701.70,167768.32,130671.48,78476.67
非流动资产合计,1,total,20906851.77,21249523.16,21100888.06,21261790.73
资产总计,1,total,33963300.44,34457096.91,33967983.22,34080446.84
流动负债,0,section
短期借款,1,item,1306801.07,2391080.72,2973234.19,3660028.17
交易性金融负债,1,item,--,--,--,--
应付票据及应付账款,1,item,4358580.06,4641833.96,4693211.57,4709582.82
应付票据,1,item,1416328.36,1566521.51,1763555.72,--
应付账款,1,item,2942251.70,3075312.45,2929655.86,--
预收款项,1,item,2237169.17,2055584.31,1907953.87,1947278.35
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,254405.12,256557.01,261597.25,237803.01
应交税费,1,item,192302.54,265108.19,215562.55,203914.13
其他应付款(合计),1,total,183329.42,239210.78,208854.76,169121.18
应付利息,1,item,--,37410.59,26693.59,17235.21
应付股利,1,item,6066.63,39552.07,14703.28,1297.09
其他应付款,1,item,177262.78,--,167457.89,--
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,364315.00,309376.41,309410.74,309145.39
其他流动负债,1,item,3421344.76,2927872.21,2627741.31,1514340.80
流动负债合计,1,total,13258676.49,14108611.12,13971569.94,13382975.27
非流动负债,0,section
长期借款,1,item,200753.12,222730.37,223909.02,229963.95
应付债券,1,item,900000.00,900000.00,900000.00,900000.00
租赁负债,1,item,--,--,--,--
长期应付职工薪酬,1,item,176134.09,176999.86,176555.14,111754.45
长期应付款(合计),1,total,96074.97,95362.01,96029.81,96029.81
长期应付款,1,item,69878.97,--,69843.81,--
专项应付款,1,item,26196.00,--,26186.00,--
预计非流动负债,1,item,--,--,--,--
递延所得税负债,1,item,88471.06,85988.65,85792.33,84017.09
长期递延收益,1,item,121598.89,107555.60,106363.64,105413.11
其他非流动负债,1,item,--,573.11,--,--
非流动负债合计,1,total,1583032.13,1589209.60,1588649.94,1527178.41
负债合计,1,total,14841708.63,15697820.72,15560219.89,14910153.69
所有者权益,0,section
实收资本(或股本),1,item,2227446.04,2227446.04,2227613.41,2227613.41
资本公积,1,item,4997804.71,5003157.96,4960257.42,4964706.92
减：库存股,1,item,69176.01,69176.01,69843.81,69843.81
其他综合收益,1,item,-88202.55,-89744.06,-95598.31,-109812.17
专项储备,1,item,3027.34,5420.18,5088.92,5243.25
盈余公积,1,item,3420802.15,3262885.97,3262885.97,3262885.97
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,7313609.80,7123952.16,6856048.44,7624244.89
归属于母公司股东权益合计,1,total,17805311.48,17463942.24,17146452.03,17905038.46
少数股东权益,1,item,1316280.33,1295333.96,1261311.31,1265254.70
所有者权益(或股东权益)合计,1,total,19121591.81,18759276.19,18407763.34,19170293.16
负债和所有者权益(或股东权益)总计,1,total,33963300.44,34457096.91,33967983.22,34080446.84
