period,商品住宅施工面积_累计值(万平方米),商品住宅施工面积累计增长(%),商品住宅新开工施工面积_累计值(万平方米),商品住宅新开工施工面积累计增长(%),商品住宅竣工面积_累计值(万平方米),商品住宅竣工面积累计增长(%)
2016年7月,470142.18,3.1,64101.65,13.1,33781.69,20.3
2016年6月,459444.39,3.4,53433.11,14.0,29023.95,19.2
2016年5月,446436.1,3.7,40767.29,16.2,23438.16,19.6
2016年4月,434753.19,3.9,29606.28,18.0,18621.77,19.9
2016年3月,424041.21,4.0,19271.04,14.8,14509.05,17.1
2016年2月,414617.27,4.2,10811.49,9.7,10127.38,29.8
2015年12月,511569.52,-0.7,106651.3,-14.6,73777.36,-8.8
2015年11月,503346.95,-0.3,97076.57,-15.3,53553.47,-6.4
2015年10月,492633.15,0.2,87752.7,-14.7,45235.05,-7.2
2015年9月,482919.31,0.8,79345.0,-13.5,37791.74,-12.7
2015年8月,466294.52,0.2,65829.51,-17.9,31494.47,-17.2
2015年7月,456007.7,1.0,56684.05,-17.9,28077.44,-15.6
2015年6月,444447.32,1.7,46890.84,-17.3,24354.42,-16.5
2015年5月,430355.95,2.5,35090.6,-17.6,19598.76,-16.2
2015年4月,418478.99,3.2,25081.11,-19.6,15526.96,-13.2
2015年3月,407713.71,3.7,16791.32,-20.9,12392.49,-10.9
2015年2月,397877.02,4.4,9851.53,-19.8,7804.44,-15.8
2014年12月,515096.45,5.9,124877.0,-14.4,80868.26,2.7
2014年11月,504914.52,6.8,114636.67,-13.1,57235.73,5.5
2014年10月,491855.31,8.8,102879.43,-9.8,48748.68,5.1
2014年9月,479016.59,8.1,91754.3,-13.5,43268.63,5.1
2014年8月,465242.53,8.3,80173.59,-14.4,38036.38,4.8
2014年7月,451577.37,8.2,69068.85,-16.4,33270.45,2.7
2014年6月,437194.62,8.3,56673.76,-19.8,29168.39,6.3
2014年5月,419883.09,9.1,42588.27,-21.6,23387.88,5.3
2014年4月,405407.83,9.9,31184.06,-24.5,17883.35,-2.1
2014年3月,393205.69,11.4,21238.35,-27.2,13910.42,-7.3
2014年2月,380951.67,13.5,12278.79,-29.6,9265.5,-10.6
