科目,层级,类型,2025-12-31,2025-09-30,2025-06-30,2025-03-31
流动资产,0,section
货币资金,1,item,384714.80,187670.89,245448.36,225248.60
交易性金融资产,1,item,--,--,--,--
衍生金融资产,1,item,--,--,--,--
应收票据及应收账款,1,item,142832.19,167113.33,121117.12,154962.66
应收票据,1,item,--,--,--,488.40
应收账款,1,item,142832.19,167113.33,121117.12,154474.26
应收款项融资,1,item,239950.93,470467.17,257427.97,445893.95
预付款项,1,item,32585.03,52155.36,39673.50,32008.62
其他应收款(合计),1,total,2637.29,10194.87,7868.81,4208.05
应收利息,1,item,--,--,--,--
应收股利,1,item,--,--,--,--
其他应收款,1,item,--,--,7868.81,--
买入返售金融资产,1,item,--,--,--,--
存货,1,item,283932.70,334220.62,439372.31,450300.47
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,641425.26,713952.33,676570.16,535796.70
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,205100.03,167892.51,108175.55,122810.69
流动资产合计,1,total,1933178.23,2103667.08,1895653.77,1971229.75
非流动资产,0,section
发放贷款及垫款,1,item,--,--,--,--
可供出售金融资产,1,item,--,--,--,--
持有至到期投资,1,item,399967.45,462345.56,667688.20,792019.72
长期应收款,1,item,--,--,--,--
长期股权投资,1,item,34274.11,30028.98,29968.95,39861.03
投资性房地产,1,item,--,--,--,--
在建工程(合计),1,total,233846.58,286665.28,297112.41,392865.28
在建工程,1,item,--,--,297112.41,--
工程物资,1,item,--,--,--,--
固定资产及清理(合计),1,total,1874563.85,1788024.37,1733106.45,1614039.04
固定资产净额,1,item,1874563.85,--,1733106.45,--
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,31.51,179.90,27.08,60.90
无形资产,1,item,106561.44,107620.81,109127.40,104833.94
开发支出,1,item,--,--,--,--
商誉,1,item,227.35,227.35,227.35,227.35
长期待摊费用,1,item,53.38,106.77,160.15,213.53
递延所得税资产,1,item,53620.32,47397.87,44106.22,42264.72
其他非流动资产,1,item,11695.37,12217.30,14380.17,14092.23
非流动资产合计,1,total,2745416.29,2766350.23,2927440.45,3035884.89
资产总计,1,total,4678594.52,4870017.31,4823094.22,5007114.64
流动负债,0,section
短期借款,1,item,86397.94,86433.63,212195.70,219675.15
交易性金融负债,1,item,--,--,--,--
应付票据及应付账款,1,item,1433559.44,1486423.52,1391620.77,1600664.40
应付票据,1,item,1000806.99,986063.20,933110.87,1021026.95
应付账款,1,item,432752.45,500360.33,458509.90,579637.45
预收款项,1,item,--,--,--,--
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,51406.83,50836.69,49943.12,52115.00
应交税费,1,item,10870.23,10998.33,14556.59,11801.57
其他应付款(合计),1,total,86056.30,85177.07,87987.26,89785.94
应付利息,1,item,--,--,--,--
应付股利,1,item,--,--,3182.54,--
其他应付款,1,item,--,--,84804.72,--
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,137649.00,90037.26,33015.86,10527.71
其他流动负债,1,item,16103.44,29265.92,23022.62,24374.52
流动负债合计,1,total,1941399.63,2065188.81,1989974.97,2172136.79
非流动负债,0,section
长期借款,1,item,23262.82,64644.04,117200.00,142800.00
应付债券,1,item,--,--,--,--
租赁负债,1,item,14.88,125.37,39.74,62.96
长期应付职工薪酬,1,item,3815.33,4861.14,5323.27,4807.41
长期应付款(合计),1,total,--,--,--,--
长期应付款,1,item,--,--,--,--
专项应付款,1,item,--,--,--,--
预计非流动负债,1,item,387.04,384.14,533.75,530.92
递延所得税负债,1,item,722.96,717.95,717.95,620.51
长期递延收益,1,item,36126.08,27008.25,27453.46,15513.18
其他非流动负债,1,item,--,--,--,--
非流动负债合计,1,total,64329.10,97740.89,151268.16,164334.97
负债合计,1,total,2005728.73,2162929.70,2141243.14,2336471.76
所有者权益,0,section
实收资本(或股本),1,item,318402.21,318254.21,318254.21,314565.21
资本公积,1,item,539125.02,538922.56,538446.31,534203.96
减：库存股,1,item,8248.07,7931.35,7931.35,--
其他综合收益,1,item,2203.27,2649.50,2948.27,3710.14
专项储备,1,item,788.43,732.29,730.45,732.29
盈余公积,1,item,220996.97,220996.97,220996.97,220996.97
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,1540068.91,1571530.33,1546633.83,1539653.71
归属于母公司股东权益合计,1,total,2613336.74,2645154.51,2620078.70,2613862.29
少数股东权益,1,item,59529.05,61933.10,61772.38,56780.59
所有者权益(或股东权益)合计,1,total,2672865.79,2707087.61,2681851.08,2670642.88
负债和所有者权益(或股东权益)总计,1,total,4678594.52,4870017.31,4823094.22,5007114.64
