科目,层级,类型,2015-12-31,2015-09-30,2015-06-30,2015-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,19214599.35,14376543.66,9274415.89,4809288.80
收到的税费返还,1,item,20158.75,9355.53,8435.15,5219.72
收到的其他与经营活动有关的现金,1,item,154599.08,100626.94,42468.00,7906.76
经营活动现金流入小计,1,total,19796686.02,14645027.17,9505021.17,4966928.71
购买商品、接受劳务支付的现金,1,item,15872582.89,11759525.33,7683713.64,4022200.62
支付给职工以及为职工支付的现金,1,item,916872.94,660377.03,432002.49,221578.44
支付的各项税费,1,item,592687.89,495212.25,316642.08,113933.95
支付的其他与经营活动有关的现金,1,item,240412.58,149208.63,99524.40,54324.82
经营活动现金流出小计,1,total,17679006.37,13105053.58,8564362.81,4459139.48
经营活动产生的现金流量净额,1,item,2117679.64,1539973.59,940658.36,507789.24
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,2771346.92,1512614.60,817463.26,114248.63
取得投资收益所收到的现金,1,item,86388.73,51665.09,32563.89,3894.25
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,4495.27,1721.37,1474.63,1149.15
收到的其他与投资活动有关的现金,1,item,531172.66,529173.15,522297.19,2794.41
投资活动现金流入小计,1,total,3392639.41,2094410.04,1373034.80,122086.44
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,2397862.33,1825294.01,1228365.88,583946.67
投资所支付的现金,1,item,3097183.52,1930579.71,997330.43,277886.75
支付的其他与投资活动有关的现金,1,item,64841.33,39936.25,5727.20,1227.22
投资活动现金流出小计,1,total,5560252.46,3796175.25,2231423.51,863060.64
投资活动产生的现金流量净额,1,item,-2167613.05,-1701765.22,-858388.71,-740974.20
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,201347.56,119040.71,108950.71,102000.00
其中：子公司吸收少数股东投资收到的现金,1,item,201347.56,119040.71,108950.71,102000.00
取得借款收到的现金,1,item,8356658.25,7615355.98,3803371.69,1916065.03
发行债券收到的现金,1,item,1565382.18,357937.92,344000.33,345609.59
收到其他与筹资活动有关的现金,1,item,--,--,--,--
筹资活动现金流入小计,1,total,10123388.00,8092334.61,4256322.73,2363674.62
偿还债务支付的现金,1,item,9589242.99,7222776.35,3409596.48,1947219.28
分配股利、利润或偿付利息所支付的现金,1,item,496052.12,426091.32,379687.02,33656.35
其中：子公司支付给少数股东的股利、利润,1,item,54881.76,8813.45,8497.36,160.00
支付其他与筹资活动有关的现金,1,item,150000.00,150000.00,150000.00,--
筹资活动现金流出小计,1,total,10235295.11,7798867.67,3939283.50,1980875.63
筹资活动产生的现金流量净额,1,item,-111907.11,293466.94,317039.23,382798.99
四、汇率变动对现金及现金等价物的影响,0,item,-56399.62,-60571.08,-30327.52,-30712.58
五、现金及现金等价物净增加额,0,item,-218240.13,71104.24,368981.35,118901.45
加:期初现金及现金等价物余额,1,item,1129128.96,1129128.96,1129128.96,1129128.96
六、期末现金及现金等价物余额,0,item,910888.83,1200233.19,1498110.31,1248030.41
附注,0,section
净利润,1,item,71407.02,--,329377.56,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,148672.97,--,9050.51,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,1026047.02,--,518371.47,--
无形资产摊销,1,item,28797.11,--,13419.29,--
长期待摊费用摊销,1,item,7530.81,--,3774.09,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,54410.00,--,33055.47,--
固定资产报废损失,1,item,--,--,--,--
公允价值变动损失,1,item,-565.80,--,-221.40,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,233081.97,--,42385.12,--
投资损失,1,item,-103820.75,--,-42472.15,--
递延所得税资产减少,1,item,35280.92,--,12141.57,--
递延所得税负债增加,1,item,2978.20,--,-147.24,--
存货的减少,1,item,280675.60,--,83463.80,--
经营性应收项目的减少,1,item,244941.47,--,-63156.73,--
经营性应付项目的增加,1,item,88243.12,--,1616.99,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,--,--,--,--
经营活动产生现金流量净额,1,item,2117679.64,--,940658.36,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,696888.83,--,1317009.92,--
现金的期初余额,1,item,1055025.76,--,1055025.76,--
现金等价物的期末余额,1,item,214000.00,--,181100.39,--
现金等价物的期初余额,1,item,74103.20,--,74103.20,--
现金及现金等价物的净增加额,1,item,-218240.13,--,368981.35,--
