科目,层级,类型,2019-12-31,2019-09-30,2019-06-30,2019-03-31
流动资产,0,section
货币资金,1,item,630558.61,667893.63,619115.40,595993.97
交易性金融资产,1,item,37729.20,--,1.43,3.58
衍生金融资产,1,item,--,--,--,--
应收票据及应收账款,1,item,227135.62,919211.98,707856.82,773514.13
应收票据,1,item,--,626518.68,563146.40,585425.20
应收账款,1,item,227135.62,292693.30,144710.42,188088.94
应收款项融资,1,item,587821.04,--,--,--
预付款项,1,item,99445.89,156669.85,122055.72,103764.53
其他应收款(合计),1,total,11635.21,27115.38,16978.06,17159.22
应收利息,1,item,--,1.31,0.16,97.42
应收股利,1,item,207.13,1661.23,1661.23,1745.15
其他应收款,1,item,11428.08,--,15316.68,--
买入返售金融资产,1,item,--,--,--,--
存货,1,item,483508.63,363069.82,371940.01,403798.34
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,--,--,--,--
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,517156.81,1043237.81,1100885.34,1047051.57
流动资产合计,1,total,2594991.01,3177198.47,2938832.78,2941285.34
非流动资产,0,section
发放贷款及垫款,1,item,--,--,--,--
可供出售金融资产,1,item,--,25838.26,26107.86,19703.86
持有至到期投资,1,item,532544.99,--,--,--
长期应收款,1,item,--,--,--,--
长期股权投资,1,item,21928.90,21151.40,18740.98,18475.48
投资性房地产,1,item,--,--,--,--
在建工程(合计),1,total,233057.78,186558.66,145204.86,121390.44
在建工程,1,item,214719.29,--,145204.86,--
工程物资,1,item,18338.49,--,--,--
固定资产及清理(合计),1,total,977590.87,958683.83,982718.33,1008758.85
固定资产净额,1,item,977590.87,--,982718.33,--
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,--,--,--,--
无形资产,1,item,79947.05,80579.42,81028.84,81596.97
开发支出,1,item,--,--,--,--
商誉,1,item,962.49,962.49,962.49,962.49
长期待摊费用,1,item,--,--,34.00,69.17
递延所得税资产,1,item,8059.70,7621.12,8130.46,8501.92
其他非流动资产,1,item,45297.37,15400.64,16287.87,14802.64
非流动资产合计,1,total,1921673.51,1296795.82,1279215.70,1274261.83
资产总计,1,total,4516664.52,4473994.28,4218048.47,4215547.17
流动负债,0,section
短期借款,1,item,408690.15,336156.02,347243.44,342717.78
交易性金融负债,1,item,--,--,--,--
应付票据及应付账款,1,item,1200097.24,1416407.17,1100376.23,1093455.97
应付票据,1,item,759086.43,809889.17,654186.89,--
应付账款,1,item,441010.81,606518.00,446189.34,--
预收款项,1,item,350558.59,268147.45,214280.25,182808.86
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,86011.97,64310.99,60168.29,70832.79
应交税费,1,item,115286.40,106199.23,104408.30,217141.53
其他应付款(合计),1,total,98792.37,96938.16,125802.21,88163.25
应付利息,1,item,376.99,56.87,11895.52,5708.60
应付股利,1,item,--,--,24341.96,83.92
其他应付款,1,item,98415.37,--,89564.73,--
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,2584.08,3043.39,163025.62,166111.29
其他流动负债,1,item,--,3460.91,1614.14,1614.26
流动负债合计,1,total,2262020.80,2294663.32,2116918.48,2162845.73
非流动负债,0,section
长期借款,1,item,--,--,--,--
应付债券,1,item,--,--,--,--
租赁负债,1,item,--,--,--,--
长期应付职工薪酬,1,item,6131.19,3156.70,6092.43,--
长期应付款(合计),1,total,--,--,--,5709.14
长期应付款,1,item,--,--,--,--
专项应付款,1,item,--,--,--,--
预计非流动负债,1,item,--,--,--,--
递延所得税负债,1,item,964.19,1067.60,1067.60,1067.60
长期递延收益,1,item,18254.16,19255.17,20256.19,19232.20
其他非流动负债,1,item,--,--,--,--
非流动负债合计,1,total,25349.55,23479.47,27416.21,26008.93
负债合计,1,total,2287370.34,2318142.79,2144334.69,2188854.66
所有者权益,0,section
实收资本(或股本),1,item,318872.27,318872.27,318872.27,318872.27
资本公积,1,item,560817.78,560817.78,560817.78,560817.78
减：库存股,1,item,--,--,--,--
其他综合收益,1,item,1361.95,1381.50,904.16,571.82
专项储备,1,item,--,--,--,--
盈余公积,1,item,149829.80,113219.62,113219.62,113219.62
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,1140257.31,1104692.79,1023924.64,978722.88
归属于母公司股东权益合计,1,total,2171139.12,2098983.97,2017738.48,1972204.38
少数股东权益,1,item,58155.05,56867.52,55975.30,54488.13
所有者权益(或股东权益)合计,1,total,2229294.17,2155851.49,2073713.78,2026692.50
负债和所有者权益(或股东权益)总计,1,total,4516664.52,4473994.28,4218048.47,4215547.17
