科目,层级,类型,2016-12-31,2016-09-30,2016-06-30,2016-03-31
一、营业总收入,0,item,3046149.92,2144227.38,1231103.11,566527.50
营业收入,1,item,3046149.92,2144227.38,1231103.11,566527.50
二、营业总成本,0,item,2997468.16,2127619.17,1224078.87,584219.10
营业成本,1,item,2851633.75,2022627.23,1150529.72,548806.63
营业税金及附加,1,item,15218.13,6471.44,4031.21,1550.08
销售费用,1,item,28246.49,20637.90,13990.55,6860.48
管理费用,1,item,46376.25,35315.46,24207.56,12419.61
财务费用,1,item,47643.54,35164.04,24411.02,11326.51
研发费用,1,item,--,--,--,--
资产减值损失,1,item,8350.00,7403.10,6908.82,3255.80
公允价值变动收益,1,item,85.27,--,--,--
投资收益,1,item,2098.06,1706.12,1489.80,134.27
其中:对联营企业和合营企业的投资收益,1,item,41.89,--,-381.13,--
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,50865.08,18314.33,8514.05,-17557.32
加:营业外收入,1,item,12691.75,8798.91,5881.43,2771.79
减：营业外支出,1,item,2142.64,172.33,138.30,32.76
其中：非流动资产处置损失,1,item,2102.24,148.76,130.61,29.22
四、利润总额,0,item,61414.20,26940.91,14257.17,-14818.30
减：所得税费用,1,item,10162.77,268.64,3676.86,-4829.40
五、净利润,0,item,51251.43,26672.28,10580.32,-9988.90
归属于母公司所有者的净利润,1,item,50292.27,27595.22,11081.22,-9182.45
少数股东损益,1,item,959.16,-922.94,-500.90,-806.45
六、每股收益,0,section
基本每股收益(元/股),1,item,0.1805,0.2000,0.0795,-0.0700
稀释每股收益(元/股),1,item,0.1805,0.2000,0.0795,-0.0700
七、其他综合收益,0,item,904.58,248.41,196.82,-47.06
八、综合收益总额,0,item,52156.01,26920.69,10777.14,-10035.96
归属于母公司所有者的综合收益总额,1,item,51196.85,27843.63,11278.04,-9229.51
归属于少数股东的综合收益总额,1,item,959.16,-922.94,-500.90,-806.45
