科目,层级,类型,2015-12-31,2015-09-30,2015-06-30,2015-03-31
流动资产,0,section
货币资金,1,item,508499.76,1063823.73,915204.64,838092.35
交易性金融资产,1,item,--,--,--,--
衍生金融资产,1,item,--,--,--,--
应收票据及应收账款,1,item,--,--,--,--
应收票据,1,item,127636.13,89000.38,111775.10,187694.95
应收账款,1,item,154044.44,149720.44,150089.23,199388.41
应收款项融资,1,item,--,--,--,--
预付款项,1,item,19293.56,37167.50,32274.29,51581.63
其他应收款(合计),1,total,--,--,--,--
应收利息,1,item,21564.12,23274.36,17704.98,18204.57
应收股利,1,item,1378.14,--,--,--
其他应收款,1,item,4304.32,9039.59,8539.15,8140.98
买入返售金融资产,1,item,--,--,--,--
存货,1,item,261721.50,255755.98,309124.53,316555.74
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,--,--,--,--
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,393243.47,6262.72,87600.16,8541.95
流动资产合计,1,total,1491685.45,1634044.71,1632312.07,1628200.59
非流动资产,0,section
发放贷款及垫款,1,item,--,--,--,--
可供出售金融资产,1,item,5000.00,5000.00,5000.00,5000.00
持有至到期投资,1,item,--,--,--,--
长期应收款,1,item,--,--,--,--
长期股权投资,1,item,18118.43,19951.62,20375.18,20700.37
投资性房地产,1,item,--,--,--,--
在建工程(合计),1,total,--,--,--,--
在建工程,1,item,35502.90,75809.24,53812.56,38944.00
工程物资,1,item,--,1208.76,1208.76,1748.63
固定资产及清理(合计),1,total,--,--,--,--
固定资产净额,1,item,1141926.74,1142854.34,1153141.15,1155819.57
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,--,--,--,--
无形资产,1,item,86287.78,114994.87,115760.55,116526.22
开发支出,1,item,--,--,--,--
商誉,1,item,825.06,825.06,825.06,825.06
长期待摊费用,1,item,--,--,--,--
递延所得税资产,1,item,43246.76,49970.54,45309.76,45289.26
其他非流动资产,1,item,30.61,--,--,--
非流动资产合计,1,total,1330938.28,1410614.44,1395433.03,1384853.11
资产总计,1,total,2822623.73,3044659.15,3027745.10,3013053.70
流动负债,0,section
短期借款,1,item,638639.06,662566.52,631317.19,707521.62
交易性金融负债,1,item,--,--,--,--
应付票据及应付账款,1,item,--,--,--,--
应付票据,1,item,184121.45,114954.50,65825.00,46092.00
应付账款,1,item,373467.54,477755.31,415174.82,421717.24
预收款项,1,item,83902.84,68864.77,72339.62,97170.20
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,54765.45,57845.02,62498.30,74843.31
应交税费,1,item,10785.22,17141.46,22353.95,21461.91
其他应付款(合计),1,total,--,--,--,--
应付利息,1,item,11400.69,17450.45,19152.18,12634.11
应付股利,1,item,--,--,--,--
其他应付款,1,item,31686.07,65845.98,78694.39,75279.78
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,146737.72,51625.00,126750.00,75125.00
其他流动负债,1,item,150000.00,303127.21,309907.47,157543.96
流动负债合计,1,total,1685506.05,1837176.24,1804012.93,1689389.14
非流动负债,0,section
长期借款,1,item,85900.00,85900.00,90900.00,189150.00
应付债券,1,item,159518.45,249032.61,248896.31,248798.80
租赁负债,1,item,--,--,--,--
长期应付职工薪酬,1,item,15692.94,20949.27,20949.27,19762.57
长期应付款(合计),1,total,--,--,--,--
长期应付款,1,item,--,--,--,--
专项应付款,1,item,--,--,--,--
预计非流动负债,1,item,--,--,--,--
递延所得税负债,1,item,1311.20,1506.02,1506.02,1506.02
长期递延收益,1,item,18127.33,20347.47,21006.96,21666.45
其他非流动负债,1,item,--,--,--,--
非流动负债合计,1,total,280549.91,377735.37,383258.56,480883.84
负债合计,1,total,1966055.96,2214911.60,2187271.49,2170272.98
所有者权益,0,section
实收资本(或股本),1,item,139344.81,139344.81,139344.81,139344.81
资本公积,1,item,567975.02,568007.90,568007.90,568007.90
减：库存股,1,item,--,--,--,--
其他综合收益,1,item,419.67,244.08,-74.30,-27.75
专项储备,1,item,--,--,--,--
盈余公积,1,item,25394.81,24727.79,24727.79,24727.79
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,77216.07,47340.12,58091.28,60035.80
归属于母公司股东权益合计,1,total,810350.38,779664.71,790097.48,792088.55
少数股东权益,1,item,46217.39,50082.84,50376.13,50692.17
所有者权益(或股东权益)合计,1,total,856567.77,829747.55,840473.61,842780.72
负债和所有者权益(或股东权益)总计,1,total,2822623.73,3044659.15,3027745.10,3013053.70
