科目,层级,类型,2019-12-31,2019-09-30,2019-06-30,2019-03-31
一、营业总收入,0,item,29205746.28,21721036.20,14108748.77,6547784.16
营业收入,1,item,29159397.87,21687560.57,14087594.67,6537824.01
二、营业总成本,0,item,28160948.91,20831417.85,13485903.65,6241584.05
营业成本,1,item,25987109.60,19363064.09,12530487.21,5873045.43
营业税金及附加,1,item,126647.96,95525.88,63462.52,29544.04
销售费用,1,item,338137.50,240294.27,157245.27,69218.65
管理费用,1,item,558177.68,363002.85,265276.66,101393.68
财务费用,1,item,246043.02,191829.43,122385.66,54477.64
研发费用,1,item,886400.20,564383.13,338560.13,137505.58
资产减值损失,1,item,--,--,--,-30171.93
公允价值变动收益,1,item,25686.77,19383.01,6922.24,-3146.34
投资收益,1,item,369988.55,274257.09,203418.32,70347.09
其中:对联营企业和合营企业的投资收益,1,item,130112.64,128796.99,81149.17,31354.73
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,1551460.09,1246858.86,871782.41,380573.07
加:营业外收入,1,item,21309.07,9573.19,5125.43,3493.12
减：营业外支出,1,item,73364.33,59210.87,45397.68,23170.10
其中：非流动资产处置损失,1,item,--,--,--,--
四、利润总额,0,item,1499404.83,1197221.18,831510.17,360896.09
减：所得税费用,1,item,152503.38,235364.34,161805.00,66210.13
五、净利润,0,item,1346901.45,961856.83,669705.16,294685.96
归属于母公司所有者的净利润,1,item,1242323.03,887437.99,618702.41,272583.23
少数股东损益,1,item,104578.42,74418.84,51002.76,22102.73
六、每股收益,0,section
基本每股收益(元/股),1,item,0.5600,0.4000,0.2800,0.1200
稀释每股收益(元/股),1,item,0.5600,0.4000,0.2800,0.1200
七、其他综合收益,0,item,12839.69,11565.43,4838.75,-9780.50
八、综合收益总额,0,item,1359741.14,973422.26,674543.91,284905.46
归属于母公司所有者的综合收益总额,1,item,1253616.02,897189.48,622599.64,262266.61
归属于少数股东的综合收益总额,1,item,106125.12,76232.79,51944.27,22638.85
