科目,层级,类型,2017-12-31,2017-09-30,2017-06-30,2017-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,2464780.97,1580680.65,1045337.48,544935.79
收到的税费返还,1,item,5391.22,3943.38,2655.79,1321.82
收到的其他与经营活动有关的现金,1,item,135710.63,138562.05,240633.48,14788.65
经营活动现金流入小计,1,total,2605882.82,1723186.08,1288626.76,561046.27
购买商品、接受劳务支付的现金,1,item,1338159.60,1148579.38,837977.68,412367.88
支付给职工以及为职工支付的现金,1,item,201828.26,141533.31,101892.26,50162.92
支付的各项税费,1,item,111976.41,98728.38,60983.39,30046.41
支付的其他与经营活动有关的现金,1,item,159241.10,37338.94,26884.66,11159.13
经营活动现金流出小计,1,total,1811205.38,1426180.01,1027737.99,503736.35
经营活动产生的现金流量净额,1,item,794677.43,297006.07,260888.77,57309.92
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,307753.00,50000.00,50000.00,50000.00
取得投资收益所收到的现金,1,item,4558.63,2561.41,2561.41,200.95
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,112.73,1.23,0.18,0.18
收到的其他与投资活动有关的现金,1,item,1500.00,--,--,--
投资活动现金流入小计,1,total,313924.36,52562.64,52561.59,50201.13
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,20354.51,12010.03,8279.52,2048.91
投资所支付的现金,1,item,313038.00,20035.00,20000.00,--
支付的其他与投资活动有关的现金,1,item,--,--,--,--
投资活动现金流出小计,1,total,337168.38,32045.03,28279.52,2048.91
投资活动产生的现金流量净额,1,item,-23244.01,20517.61,24282.07,48152.21
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,173350.00,--,--,--
其中：子公司吸收少数股东投资收到的现金,1,item,--,--,--,--
取得借款收到的现金,1,item,670568.53,565304.90,302733.35,158410.23
发行债券收到的现金,1,item,--,--,--,--
收到其他与筹资活动有关的现金,1,item,--,--,--,--
筹资活动现金流入小计,1,total,843918.53,565304.90,302733.35,158410.23
偿还债务支付的现金,1,item,970273.54,785842.39,422532.87,200401.14
分配股利、利润或偿付利息所支付的现金,1,item,54474.57,20045.25,15274.65,9015.29
其中：子公司支付给少数股东的股利、利润,1,item,--,--,--,--
支付其他与筹资活动有关的现金,1,item,160.00,--,--,--
筹资活动现金流出小计,1,total,1024908.11,805887.64,437807.52,209416.43
筹资活动产生的现金流量净额,1,item,-180989.58,-240582.74,-135074.17,-51006.20
四、汇率变动对现金及现金等价物的影响,0,item,1485.31,3198.72,-154.55,-508.83
五、现金及现金等价物净增加额,0,item,591929.15,80139.66,149942.12,53947.11
加:期初现金及现金等价物余额,1,item,100623.80,99474.53,99474.53,99474.53
六、期末现金及现金等价物余额,0,item,692552.95,179614.19,249416.64,153421.63
附注,0,section
净利润,1,item,313941.10,--,59022.49,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,641.65,--,476.70,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,106946.67,--,52403.24,--
无形资产摊销,1,item,2416.71,--,1181.34,--
长期待摊费用摊销,1,item,7.32,--,--,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,-347.77,--,5.58,--
固定资产报废损失,1,item,6228.36,--,--,--
公允价值变动损失,1,item,85.27,--,--,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,45846.96,--,26728.49,--
投资损失,1,item,-4669.22,--,-3535.08,--
递延所得税资产减少,1,item,23149.02,--,12134.08,--
递延所得税负债增加,1,item,-124.91,--,--,--
存货的减少,1,item,-154382.26,--,15426.96,--
经营性应收项目的减少,1,item,117217.74,--,-59702.49,--
经营性应付项目的增加,1,item,241726.01,--,-73396.05,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,95994.80,--,230143.51,--
经营活动产生现金流量净额,1,item,794677.43,--,260888.77,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,692552.95,--,249416.64,--
现金的期初余额,1,item,100623.80,--,99474.53,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,591929.15,--,149942.12,--
