科目,层级,类型,2021-12-31,2021-09-30,2021-06-30,2021-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,41082148.35,30543360.03,19688978.08,9060019.71
收到的税费返还,1,item,28724.02,164090.26,143744.72,11631.35
收到的其他与经营活动有关的现金,1,item,901842.89,87550.79,59020.80,749569.56
经营活动现金流入小计,1,total,42975082.63,32166341.07,21438689.72,10134179.17
购买商品、接受劳务支付的现金,1,item,33662477.10,26164876.28,16798692.27,7868614.91
支付给职工以及为职工支付的现金,1,item,1671571.64,1103451.00,756648.76,423978.79
支付的各项税费,1,item,958526.29,912100.87,596453.56,261395.46
支付的其他与经营活动有关的现金,1,item,381307.79,593691.86,298101.38,78809.90
经营活动现金流出小计,1,total,36988195.51,29215795.71,18621560.78,8731192.07
经营活动产生的现金流量净额,1,item,5986887.12,2950545.36,2817128.94,1402987.11
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,4344960.92,2359568.66,1613179.59,535857.09
取得投资收益所收到的现金,1,item,221214.40,149049.50,107523.77,11146.31
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,243473.88,122950.05,70875.13,12094.16
收到的其他与投资活动有关的现金,1,item,20465.87,14665.58,10168.52,3574.95
投资活动现金流入小计,1,total,4836534.24,2646321.97,1801835.20,562862.93
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,2392228.39,1632354.36,1109519.68,528560.06
投资所支付的现金,1,item,5136928.39,2786754.89,1573227.43,900000.00
支付的其他与投资活动有关的现金,1,item,6082.41,--,--,--
投资活动现金流出小计,1,total,7539926.63,4419130.96,2682228.98,1428560.06
投资活动产生的现金流量净额,1,item,-2703392.38,-1772808.99,-880393.78,-865697.12
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,204209.45,203719.45,62169.45,60413.70
其中：子公司吸收少数股东投资收到的现金,1,item,204209.45,203719.45,62169.45,60413.70
取得借款收到的现金,1,item,4519266.74,4255267.10,2791432.31,1507436.83
发行债券收到的现金,1,item,6950000.00,6050000.00,3750000.00,1650000.00
收到其他与筹资活动有关的现金,1,item,30000.00,30000.00,--,7066.48
筹资活动现金流入小计,1,total,11703476.20,10538986.55,6603601.77,3224917.00
偿还债务支付的现金,1,item,12623560.00,9622355.70,6731963.69,3388025.46
分配股利、利润或偿付利息所支付的现金,1,item,1760629.26,947261.66,916893.92,154142.42
其中：子公司支付给少数股东的股利、利润,1,item,87015.10,70144.27,70144.27,--
支付其他与筹资活动有关的现金,1,item,453724.51,364576.95,273742.48,36642.15
筹资活动现金流出小计,1,total,14837913.77,10934194.31,7922600.10,3578810.03
筹资活动产生的现金流量净额,1,item,-3134437.57,-395207.76,-1318998.33,-353893.02
四、汇率变动对现金及现金等价物的影响,0,item,-2214.40,4041.61,3959.63,3674.15
五、现金及现金等价物净增加额,0,item,146842.77,786570.23,621696.45,187071.11
加:期初现金及现金等价物余额,1,item,1559921.24,1559921.24,1506213.28,1506213.28
六、期末现金及现金等价物余额,0,item,1706764.00,2346491.46,2127909.73,1693284.39
附注,0,section
净利润,1,item,2645502.07,--,1676496.57,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,144770.46,--,-9152.23,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,1838972.78,--,906021.51,--
无形资产摊销,1,item,40109.86,--,21785.33,--
长期待摊费用摊销,1,item,18638.83,--,9129.53,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,-140875.21,--,-77375.95,--
固定资产报废损失,1,item,169700.78,--,99175.82,--
公允价值变动损失,1,item,19916.88,--,4870.80,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,171278.37,--,71106.84,--
投资损失,1,item,-382954.86,--,-187613.62,--
递延所得税资产减少,1,item,-32591.03,--,-15511.06,--
递延所得税负债增加,1,item,33202.38,--,5918.88,--
存货的减少,1,item,-998787.56,--,-839118.48,--
经营性应收项目的减少,1,item,805393.93,--,-350494.59,--
经营性应付项目的增加,1,item,1617751.06,--,1450214.18,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,--,--,--,--
经营活动产生现金流量净额,1,item,5986887.12,--,2817128.94,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,1706764.00,--,2127909.73,--
现金的期初余额,1,item,1559921.24,--,1506213.28,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,146842.77,--,621696.45,--
