科目,层级,类型,2025-12-31,2025-09-30,2025-06-30,2025-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,35872824.43,26546103.64,17099998.01,7911852.57
收到的税费返还,1,item,241815.87,111369.41,56730.11,4228.22
收到的其他与经营活动有关的现金,1,item,153182.36,108476.44,84399.80,28423.48
经营活动现金流入小计,1,total,36267822.65,26765949.49,17241127.92,7944504.27
购买商品、接受劳务支付的现金,1,item,29784716.25,21548797.42,14139398.42,6674278.38
支付给职工以及为职工支付的现金,1,item,1691452.80,1164853.91,792413.58,426736.63
支付的各项税费,1,item,1057516.65,653901.26,430610.36,186069.48
支付的其他与经营活动有关的现金,1,item,374418.66,314095.85,214009.17,221915.78
经营活动现金流出小计,1,total,32908104.36,23681648.43,15576431.53,7509000.28
经营活动产生的现金流量净额,1,item,3359718.30,3084301.06,1664696.39,435503.99
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,4188843.02,2972239.85,1797985.16,360002.36
取得投资收益所收到的现金,1,item,169316.97,130647.56,65893.29,10077.71
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,6772.39,7697.57,3189.80,-57.33
收到的其他与投资活动有关的现金,1,item,35027.50,22586.90,24227.62,3730.71
投资活动现金流入小计,1,total,4399959.88,3133171.88,1891295.87,373753.44
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,1850732.59,1436579.70,1006362.16,451297.14
投资所支付的现金,1,item,4794297.51,3410076.25,2275603.42,573270.69
支付的其他与投资活动有关的现金,1,item,11352.68,15517.48,15798.88,11902.20
投资活动现金流出小计,1,total,6663460.30,4869250.94,3304841.97,1043547.55
投资活动产生的现金流量净额,1,item,-2263500.42,-1736079.06,-1413546.11,-669794.10
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,4861.06,4861.06,4861.06,4861.06
其中：子公司吸收少数股东投资收到的现金,1,item,4861.06,4861.06,4861.06,4861.06
取得借款收到的现金,1,item,1078331.01,911909.65,736508.71,150591.48
发行债券收到的现金,1,item,1400000.00,1400000.00,1400000.00,500000.00
收到其他与筹资活动有关的现金,1,item,28809.52,7672.60,5388.60,5320.00
筹资活动现金流入小计,1,total,2512001.59,2324443.31,2146758.38,660772.54
偿还债务支付的现金,1,item,3389588.80,2793809.95,2214167.24,617468.97
分配股利、利润或偿付利息所支付的现金,1,item,673385.41,652537.03,361193.71,26616.33
其中：子公司支付给少数股东的股利、利润,1,item,149257.99,102561.06,101922.65,--
支付其他与筹资活动有关的现金,1,item,201532.28,193091.50,105436.80,13594.33
筹资活动现金流出小计,1,total,4264506.49,3639438.49,2680797.75,657679.63
筹资活动产生的现金流量净额,1,item,-1752504.90,-1314995.17,-534039.37,3092.91
四、汇率变动对现金及现金等价物的影响,0,item,-7034.63,-1369.63,2547.67,-3212.58
五、现金及现金等价物净增加额,0,item,-663321.66,31857.19,-280341.41,-234409.78
加:期初现金及现金等价物余额,1,item,2509582.59,2509582.59,2509582.59,2509582.59
六、期末现金及现金等价物余额,0,item,1846260.94,2541439.79,2229241.18,2275172.81
附注,0,section
净利润,1,item,1141210.60,--,549037.80,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,88766.36,--,-26698.34,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,1823298.74,--,911428.50,--
无形资产摊销,1,item,61249.74,--,30435.28,--
长期待摊费用摊销,1,item,27797.09,--,13405.74,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,-3488.39,--,-3797.72,--
固定资产报废损失,1,item,71309.67,--,29629.68,--
公允价值变动损失,1,item,8015.88,--,4673.09,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,109772.45,--,61237.02,--
投资损失,1,item,-279599.44,--,-107669.49,--
递延所得税资产减少,1,item,-27186.23,--,-20331.36,--
递延所得税负债增加,1,item,-8017.64,--,133.59,--
存货的减少,1,item,107750.19,--,-148018.83,--
经营性应收项目的减少,1,item,-225537.63,--,-33136.46,--
经营性应付项目的增加,1,item,364456.01,--,369794.37,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,--,--,--,--
经营活动产生现金流量净额,1,item,3359718.30,--,1664696.39,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,1846260.94,--,2229241.18,--
现金的期初余额,1,item,2509582.59,--,2509582.59,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,-663321.66,--,-280341.41,--
