科目,层级,类型,2018-12-31,2018-09-30,2018-06-30,2018-03-31
流动资产,0,section
货币资金,1,item,1695917.17,1932722.59,2550240.20,2132910.76
交易性金融资产,1,item,202507.49,312250.97,60431.22,115539.92
衍生金融资产,1,item,--,--,--,--
应收票据及应收账款,1,item,4182620.51,4123149.48,4637705.27,4348175.86
应收票据,1,item,2913019.69,2693047.30,3312200.93,2824645.57
应收账款,1,item,1269600.82,1430102.19,1325504.34,1523530.29
应收款项融资,1,item,--,--,--,--
预付款项,1,item,632802.38,645622.74,855434.38,839956.85
其他应收款(合计),1,total,317645.90,301067.17,292270.68,328026.24
应收利息,1,item,1422.60,3166.79,3162.41,1699.89
应收股利,1,item,1642.98,1778.52,1778.52,1778.52
其他应收款,1,item,314580.32,--,287329.75,324547.83
买入返售金融资产,1,item,50000.00,179445.00,--,--
存货,1,item,4150538.99,4325819.10,3988745.23,4511528.52
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,--,4957.90,4904.09,4850.87
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,776824.54,1587059.83,1282537.96,1477004.46
流动资产合计,1,total,12008856.98,13412094.79,13672269.02,13757993.47
非流动资产,0,section
发放贷款及垫款,1,item,558090.12,509915.23,387962.89,296456.61
可供出售金融资产,1,item,1263723.09,1297327.15,1289221.79,1280495.55
持有至到期投资,1,item,--,--,--,--
长期应收款,1,item,30225.97,30835.27,31400.45,32012.53
长期股权投资,1,item,1898506.96,1825460.39,1796205.17,1761485.65
投资性房地产,1,item,46658.50,47959.63,48802.82,27290.18
在建工程(合计),1,total,776525.90,840037.43,800222.03,810996.04
在建工程,1,item,768383.27,840037.43,791540.94,806929.42
工程物资,1,item,8142.63,--,8681.09,4066.62
固定资产及清理(合计),1,total,15071849.17,15173478.12,15307724.23,15525795.95
固定资产净额,1,item,15071849.17,15173478.12,15307724.23,15525795.95
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,--,--,--,--
无形资产,1,item,1231371.44,1226646.40,1237175.53,1245543.85
开发支出,1,item,--,--,--,--
商誉,1,item,52402.46,53496.28,51094.95,51671.24
长期待摊费用,1,item,139306.33,144091.06,141246.33,139373.60
递延所得税资产,1,item,289742.05,278867.55,255932.51,275345.79
其他非流动资产,1,item,146801.62,146614.37,160943.16,166752.38
非流动资产合计,1,total,21505203.60,21574728.88,21507931.87,21613219.38
资产总计,1,total,33514060.58,34986823.68,35180200.90,35371212.85
流动负债,0,section
短期借款,1,item,3832405.71,4431210.20,6279591.80,6333719.88
交易性金融负债,1,item,62.96,4111.54,6988.04,51758.26
应付票据及应付账款,1,item,4593056.37,4441870.53,4474663.49,4296089.78
应付票据,1,item,1624403.19,--,1325076.08,1164658.95
应付账款,1,item,2968653.18,--,3149587.41,3131430.82
预收款项,1,item,1985324.15,2284370.46,2249582.49,2149396.45
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,268345.41,417820.72,320832.38,236391.06
应交税费,1,item,443148.08,407868.97,350515.44,485169.89
其他应付款(合计),1,total,189650.81,222205.75,375006.14,248340.65
应付利息,1,item,35935.98,41765.96,37009.85,48566.43
应付股利,1,item,66.03,1822.87,5455.57,1047.65
其他应付款,1,item,153648.80,--,332540.71,198726.57
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,516233.24,1418839.68,1419596.40,1615570.94
其他流动负债,1,item,607675.51,906721.41,407750.43,6883.60
流动负债合计,1,total,13330326.41,15365046.19,16478357.64,16015394.04
非流动负债,0,section
长期借款,1,item,561023.12,533480.37,286825.25,81764.80
应付债券,1,item,300000.00,300000.00,320427.23,868480.82
租赁负债,1,item,--,--,--,--
长期应付职工薪酬,1,item,112456.35,147368.87,142997.60,142969.42
长期应付款(合计),1,total,92750.45,95475.45,95475.45,100115.11
长期应付款,1,item,66564.45,95475.45,66564.45,71204.11
专项应付款,1,item,26186.00,--,28911.00,28911.00
预计非流动负债,1,item,--,--,199.67,194.37
递延所得税负债,1,item,84078.27,98493.34,96449.22,70645.59
长期递延收益,1,item,108917.04,113030.11,130303.26,109584.41
其他非流动负债,1,item,--,--,--,--
非流动负债合计,1,total,1259225.22,1287848.14,1072677.69,1373754.53
负债合计,1,total,14589551.63,16652894.32,17551035.34,17389148.57
所有者权益,0,section
实收资本(或股本),1,item,2226791.51,2226791.51,2226791.51,2226791.51
资本公积,1,item,4958165.58,4941326.22,4925397.24,4880024.89
减：库存股,1,item,66564.45,66564.45,66564.45,71204.11
其他综合收益,1,item,-34827.87,-22067.16,-43695.66,-54158.91
专项储备,1,item,3795.10,6866.52,6505.95,5326.11
盈余公积,1,item,3262885.97,2977472.11,2977472.11,2977472.11
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,7326009.57,7029650.48,6455827.54,6959016.79
归属于母公司股东权益合计,1,total,17676255.39,17093475.23,16484224.88,16931040.13
少数股东权益,1,item,1248253.56,1240454.13,1144940.68,1051024.15
所有者权益(或股东权益)合计,1,total,18924508.95,18333929.35,17629165.56,17982064.27
负债和所有者权益(或股东权益)总计,1,total,33514060.58,34986823.68,35180200.90,35371212.85
