科目,层级,类型,2022-12-31,2022-09-30,2022-06-30,2022-03-31
流动资产,0,section
货币资金,1,item,2414974.87,2475073.86,3020703.56,2372319.10
交易性金融资产,1,item,277515.81,341903.56,339287.77,264793.01
衍生金融资产,1,item,6810.81,17496.11,3123.71,5315.70
应收票据及应收账款,1,item,2611906.80,2737154.67,2835897.48,2499524.61
应收票据,1,item,1043473.29,1190051.78,1153719.70,1121283.06
应收账款,1,item,1568433.51,1547102.89,1682177.78,1378241.54
应收款项融资,1,item,1017795.78,1118516.86,1013556.73,1109946.41
预付款项,1,item,835799.59,930727.49,944902.04,631106.33
其他应收款(合计),1,total,131906.75,142545.36,239932.37,256261.25
应收利息,1,item,--,--,--,--
应收股利,1,item,1500.00,2256.11,41954.32,66983.39
其他应收款,1,item,130406.75,--,197978.04,--
买入返售金融资产,1,item,199941.51,510000.00,320063.40,--
存货,1,item,4601001.17,4944857.77,5727095.27,5386493.32
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,44662.47,25.09,26.98,19710.44
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,5099400.26,3674663.82,3917494.85,4042539.76
流动资产合计,1,total,17488875.13,17077576.02,18631204.60,16779319.77
非流动资产,0,section
发放贷款及垫款,1,item,79615.86,92956.00,113848.95,69939.98
可供出售金融资产,1,item,--,--,--,--
持有至到期投资,1,item,--,32500.00,32500.00,32500.00
长期应收款,1,item,94587.92,77408.81,86264.58,86631.05
长期股权投资,1,item,2787725.07,2739774.02,2701911.81,2631421.39
投资性房地产,1,item,57300.73,58112.39,59186.37,59678.28
在建工程(合计),1,total,1375130.83,1243032.05,1131670.56,1166711.86
在建工程,1,item,1372154.52,--,1129152.57,--
工程物资,1,item,2976.31,--,2517.99,--
固定资产及清理(合计),1,total,14825874.87,14695724.17,14629026.78,14813511.63
固定资产净额,1,item,14825874.87,--,14629026.78,--
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,546417.00,573791.18,582836.63,590118.18
无形资产,1,item,1207966.92,1212137.67,1214792.66,1201401.70
开发支出,1,item,--,--,--,--
商誉,1,item,52999.17,50103.02,50231.23,50740.75
长期待摊费用,1,item,226782.37,190242.83,193263.08,198011.02
递延所得税资产,1,item,385870.73,369278.91,369777.33,349244.27
其他非流动资产,1,item,238278.22,184512.92,142602.28,121109.37
非流动资产合计,1,total,22336010.38,22865673.92,22111812.20,22807264.73
资产总计,1,total,39824885.51,39943249.94,40743016.80,39586584.50
流动负债,0,section
短期借款,1,item,460047.93,444987.40,361452.99,1139438.18
交易性金融负债,1,item,--,--,--,--
应付票据及应付账款,1,item,6204632.64,5853645.30,6102549.55,5754546.12
应付票据,1,item,1021259.38,820958.41,724618.18,839288.56
应付账款,1,item,5183373.27,5032686.89,5377931.37,4915257.56
预收款项,1,item,--,--,--,--
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,166441.50,273743.68,209650.51,145900.06
应交税费,1,item,206679.30,183547.96,212925.20,219370.97
其他应付款(合计),1,total,297557.66,301252.46,333174.54,326500.03
应付利息,1,item,--,--,--,--
应付股利,1,item,247.20,6930.81,22550.53,10989.68
其他应付款,1,item,297310.46,--,310624.01,--
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,997901.36,392130.69,495798.15,194329.51
其他流动负债,1,item,290304.20,826756.96,1198381.58,1704323.58
流动负债合计,1,total,14398770.13,13697260.26,14450390.49,14621544.82
非流动负债,0,section
长期借款,1,item,2157299.68,2914804.88,3069914.80,1596224.64
应付债券,1,item,550000.00,550000.00,550000.00,800000.00
租赁负债,1,item,524763.44,519088.45,541337.75,524206.57
长期应付职工薪酬,1,item,124819.14,152058.47,161787.15,164063.15
长期应付款(合计),1,total,198129.00,209306.16,230357.91,64789.30
长期应付款,1,item,185376.86,--,212935.80,--
专项应付款,1,item,26186.00,--,26186.00,--
预计非流动负债,1,item,--,--,--,--
递延所得税负债,1,item,143846.39,152410.95,145321.73,148486.20
长期递延收益,1,item,139622.30,125894.55,130538.42,134499.76
其他非流动负债,1,item,--,--,--,--
非流动负债合计,1,total,3838479.94,4623563.47,4829257.76,3432269.62
负债合计,1,total,18237250.07,18320823.73,19279648.24,18053814.44
所有者权益,0,section
实收资本(或股本),1,item,2226819.00,2226819.00,2226841.16,2226841.16
资本公积,1,item,5019445.03,5020471.85,5007733.48,5106126.00
减：库存股,1,item,244542.83,244542.83,265709.76,382185.04
其他综合收益,1,item,-48757.99,-67069.35,-83919.79,-92300.83
专项储备,1,item,2370.96,3348.74,3294.40,2339.21
盈余公积,1,item,4106404.34,3824033.56,3824033.56,3824033.56
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,8400552.47,8809432.87,8642191.64,8790177.74
归属于母公司股东权益合计,1,total,19462290.98,19572493.83,19354464.69,19475031.79
少数股东权益,1,item,2125344.46,2049932.38,2108903.87,2057738.27
所有者权益(或股东权益)合计,1,total,21587635.44,21622426.22,21463368.56,21532770.06
负债和所有者权益(或股东权益)总计,1,total,39824885.51,39943249.94,40743016.80,39586584.50
