科目,层级,类型,2015-12-31,2015-09-30,2015-06-30,2015-03-31
一、营业总收入,0,item,2537101.36,1807940.87,1228493.18,625266.01
营业收入,1,item,2537101.36,1807940.87,1228493.18,625266.01
二、营业总成本,0,item,2588321.42,1848922.18,1250346.12,642686.48
营业成本,1,item,2450344.30,1737623.26,1172766.85,611828.71
营业税金及附加,1,item,7004.45,5061.43,3141.25,1016.05
销售费用,1,item,28351.48,21551.92,14170.30,7115.71
管理费用,1,item,52682.27,43020.11,30425.54,13267.93
财务费用,1,item,46163.50,35319.91,23882.35,9495.43
研发费用,1,item,--,--,--,--
资产减值损失,1,item,3775.42,6345.55,5959.82,-37.36
公允价值变动收益,1,item,--,--,--,--
投资收益,1,item,44415.81,-212.16,-876.55,-628.50
其中:对联营企业和合营企业的投资收益,1,item,-1772.38,--,--,--
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,-6804.25,-41193.46,-22729.49,-18048.97
加:营业外收入,1,item,10048.20,7672.43,4513.11,1170.13
减：营业外支出,1,item,161.62,75.55,62.69,47.20
其中：非流动资产处置损失,1,item,10.56,3.05,3.05,2.33
四、利润总额,0,item,3082.34,-33596.58,-18279.08,-16926.03
减：所得税费用,1,item,-2362.25,-9173.51,-4900.45,-5284.09
五、净利润,0,item,5444.59,-24423.07,-13378.62,-11641.94
归属于母公司所有者的净利润,1,item,6055.96,-24487.00,-13735.85,-11791.32
少数股东损益,1,item,-611.37,63.93,357.22,149.38
六、每股收益,0,section
基本每股收益(元/股),1,item,0.0435,-0.1800,-0.1000,-0.0800
稀释每股收益(元/股),1,item,0.0435,-0.1800,-0.1000,-0.0800
七、其他综合收益,0,item,473.30,--,-20.68,25.87
八、综合收益总额,0,item,5917.89,--,-13399.30,-11616.07
归属于母公司所有者的综合收益总额,1,item,6529.26,--,-13756.52,-11765.45
归属于少数股东的综合收益总额,1,item,-611.37,--,357.22,149.38
