科目,层级,类型,2017-12-31,2017-09-30,2017-06-30,2017-03-31
一、营业总收入,0,item,4996701.36,3551025.81,2261401.25,1006856.67
营业收入,1,item,4996701.36,3551025.81,2261401.25,1006856.67
二、营业总成本,0,item,4600499.96,3393961.53,2197127.46,974369.84
营业成本,1,item,4448722.69,3283252.57,2126619.17,940848.25
营业税金及附加,1,item,27418.35,19238.43,11444.54,4831.42
销售费用,1,item,26945.11,19686.82,12960.50,6137.58
管理费用,1,item,66047.87,45007.92,23660.24,11197.45
财务费用,1,item,29629.89,26157.64,21966.30,10509.97
研发费用,1,item,--,--,--,--
资产减值损失,1,item,1736.05,618.15,476.70,845.17
公允价值变动收益,1,item,-85.27,-85.27,-85.27,92.10
投资收益,1,item,4669.22,3588.74,3535.08,586.57
其中:对联营企业和合营企业的投资收益,1,item,835.24,655.83,605.25,--
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,411437.27,160567.76,67723.61,33165.49
加:营业外收入,1,item,934.53,8293.04,5053.45,2357.83
减：营业外支出,1,item,6444.43,99.60,54.62,3.74
其中：非流动资产处置损失,1,item,--,30.12,5.58,1.32
四、利润总额,0,item,405927.37,168761.20,72722.45,35519.58
减：所得税费用,1,item,91986.27,28132.00,13699.96,7812.24
五、净利润,0,item,313941.10,140629.20,59022.49,27707.34
归属于母公司所有者的净利润,1,item,311062.22,137523.73,57191.04,27204.48
少数股东损益,1,item,2878.87,3105.47,1831.45,502.87
六、每股收益,0,section
基本每股收益(元/股),1,item,1.0900,0.4900,0.2050,0.1000
稀释每股收益(元/股),1,item,1.0900,0.4900,0.2050,0.1000
七、其他综合收益,0,item,-1117.33,-823.96,-439.18,-114.21
八、综合收益总额,0,item,312823.76,139805.24,58583.31,27593.14
归属于母公司所有者的综合收益总额,1,item,309944.89,136699.78,56751.86,27090.27
归属于少数股东的综合收益总额,1,item,2878.87,3105.47,1831.45,502.87
