科目,层级,类型,2025-12-31,2025-09-30,2025-06-30,2025-03-31
一、营业总收入,0,item,3580901.81,2722509.73,1751191.39,874872.52
营业收入,1,item,3580901.81,2722509.73,1751191.39,874872.52
二、营业总成本,0,item,3590738.58,2716953.16,1760142.09,888394.94
营业成本,1,item,3454775.95,2614577.31,1694420.91,848071.63
营业税金及附加,1,item,29473.82,23830.85,16548.05,11312.35
销售费用,1,item,12276.71,7564.28,5100.71,2625.77
管理费用,1,item,50116.82,35111.16,20230.54,14796.53
财务费用,1,item,4864.45,4201.18,2987.60,1085.31
研发费用,1,item,39230.82,31668.39,20854.27,10503.34
资产减值损失,1,item,--,--,--,--
公允价值变动收益,1,item,-940.00,--,--,--
投资收益,1,item,34119.31,26023.94,18283.34,9612.76
其中:对联营企业和合营企业的投资收益,1,item,1042.26,109.35,-9.85,16.18
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,26421.61,44813.42,16795.95,5233.02
加:营业外收入,1,item,1132.54,1486.11,1400.63,725.34
减：营业外支出,1,item,11209.13,3833.33,1916.24,1543.74
其中：非流动资产处置损失,1,item,--,--,--,--
四、利润总额,0,item,16345.01,42466.21,16280.34,4414.63
减：所得税费用,1,item,13026.02,5119.87,4291.22,2862.65
五、净利润,0,item,3319.00,37346.34,11989.12,1551.97
归属于母公司所有者的净利润,1,item,4445.01,36006.34,11109.84,1246.91
少数股东损益,1,item,-1126.02,1340.00,879.28,305.06
六、每股收益,0,section
基本每股收益(元/股),1,item,0.0100,0.1130,0.0300,0.0040
稀释每股收益(元/股),1,item,0.0100,0.1130,0.0300,0.0040
七、其他综合收益,0,item,-1164.20,-817.88,-519.11,-56.97
八、综合收益总额,0,item,2154.79,36528.46,11470.01,1495.00
归属于母公司所有者的综合收益总额,1,item,3280.81,35188.46,10590.73,1189.94
归属于少数股东的综合收益总额,1,item,-1126.02,1340.00,879.28,305.06
