科目,层级,类型,2019-12-31,2019-09-30,2019-06-30,2019-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,5079237.86,2314569.42,1501200.88,800438.35
收到的税费返还,1,item,9121.49,4387.71,3313.23,1306.02
收到的其他与经营活动有关的现金,1,item,1446799.77,1208458.97,889607.64,494869.18
经营活动现金流入小计,1,total,6535159.12,3527416.10,2394121.75,1296613.55
购买商品、接受劳务支付的现金,1,item,3742755.56,1726678.68,1034646.94,625024.26
支付给职工以及为职工支付的现金,1,item,224873.36,195521.32,115691.65,62342.43
支付的各项税费,1,item,274245.06,260864.74,228817.33,79744.87
支付的其他与经营活动有关的现金,1,item,1660029.65,903371.90,897871.88,493651.72
经营活动现金流出小计,1,total,5901903.63,3086436.64,2277027.80,1260763.28
经营活动产生的现金流量净额,1,item,633255.49,440979.46,117093.95,35850.27
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,646989.63,174000.00,134000.00,54000.00
取得投资收益所收到的现金,1,item,42249.80,3534.30,3117.10,2451.23
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,869.15,1.76,1.76,--
收到的其他与投资活动有关的现金,1,item,--,2000.00,2000.00,--
投资活动现金流入小计,1,total,690108.58,179536.06,139118.86,56451.23
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,27509.34,26542.25,13025.13,7225.48
投资所支付的现金,1,item,1242634.40,320000.00,160000.00,50000.00
支付的其他与投资活动有关的现金,1,item,--,--,--,--
投资活动现金流出小计,1,total,1270143.74,346542.25,173025.13,57225.48
投资活动产生的现金流量净额,1,item,-580035.16,-167006.18,-33906.27,-774.25
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,2300.00,--,--,--
其中：子公司吸收少数股东投资收到的现金,1,item,--,--,--,--
取得借款收到的现金,1,item,494243.52,257364.92,211504.92,90004.92
发行债券收到的现金,1,item,--,--,--,--
收到其他与筹资活动有关的现金,1,item,5820.00,--,--,--
筹资活动现金流入小计,1,total,502363.52,257364.92,211504.92,90004.92
偿还债务支付的现金,1,item,631519.22,436300.00,196700.00,84200.00
分配股利、利润或偿付利息所支付的现金,1,item,87458.86,74485.19,46140.44,2608.97
其中：子公司支付给少数股东的股利、利润,1,item,--,--,--,--
支付其他与筹资活动有关的现金,1,item,59.67,--,--,--
筹资活动现金流出小计,1,total,719037.76,510785.19,242840.44,86808.97
筹资活动产生的现金流量净额,1,item,-216674.24,-253420.27,-31335.51,3195.95
四、汇率变动对现金及现金等价物的影响,0,item,-1079.60,-672.37,-1679.25,-872.69
五、现金及现金等价物净增加额,0,item,-164533.50,19880.64,50172.92,37399.28
加:期初现金及现金等价物余额,1,item,551219.66,551219.66,551219.66,551219.66
六、期末现金及现金等价物余额,0,item,386686.16,571100.30,601392.59,588618.94
附注,0,section
净利润,1,item,342993.62,--,184758.25,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,455.07,--,4038.14,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,93730.35,--,52853.48,--
无形资产摊销,1,item,2066.53,--,1232.80,--
长期待摊费用摊销,1,item,47.38,--,13.38,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,706.66,--,-1.76,--
固定资产报废损失,1,item,6418.85,--,0.51,--
公允价值变动损失,1,item,-869.29,--,5.45,--
递延收益增加（减：减少）,1,item,-1904.05,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,18468.64,--,18394.77,--
投资损失,1,item,-38577.14,--,-3678.09,--
递延所得税资产减少,1,item,256.96,--,-135.51,--
递延所得税负债增加,1,item,-222.20,--,--,--
存货的减少,1,item,65167.79,--,167383.56,--
经营性应收项目的减少,1,item,260809.45,--,-19767.80,--
经营性应付项目的增加,1,item,-117995.08,--,-86728.90,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,--,--,-201274.32,--
经营活动产生现金流量净额,1,item,633255.49,--,117093.95,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,386686.16,--,601392.59,--
现金的期初余额,1,item,551219.66,--,551219.66,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,-164533.50,--,50172.92,--
