科目,层级,类型,2025-12-31,2025-09-30,2025-06-30,2025-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,3225860.43,2500834.42,1820056.55,856509.43
收到的税费返还,1,item,15075.26,10819.56,7770.67,3918.60
收到的其他与经营活动有关的现金,1,item,170774.09,177214.95,158271.60,94159.91
经营活动现金流入小计,1,total,3411709.78,2688868.92,1986098.82,954587.95
购买商品、接受劳务支付的现金,1,item,2933081.60,2198429.95,1780587.75,787307.42
支付给职工以及为职工支付的现金,1,item,270133.62,205929.93,140013.14,68962.71
支付的各项税费,1,item,76888.79,51605.98,31365.85,20081.61
支付的其他与经营活动有关的现金,1,item,106898.92,185072.60,105620.13,77425.95
经营活动现金流出小计,1,total,3387002.93,2641038.46,2057586.87,953777.69
经营活动产生的现金流量净额,1,item,24706.85,47830.46,-71488.05,810.25
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,747624.16,498261.39,374931.44,115141.44
取得投资收益所收到的现金,1,item,49299.73,35417.20,20369.46,10775.11
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,277.43,276.09,0.34,0.34
收到的其他与投资活动有关的现金,1,item,--,--,--,--
投资活动现金流入小计,1,total,797201.32,533954.68,395301.24,125916.88
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,267546.42,323573.97,230238.46,190314.70
投资所支付的现金,1,item,366107.19,212833.80,166357.00,19000.00
支付的其他与投资活动有关的现金,1,item,--,--,--,--
投资活动现金流出小计,1,total,648723.84,536407.77,411665.68,209314.70
投资活动产生的现金流量净额,1,item,148477.49,-2453.09,-16364.45,-83397.81
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,8248.07,7931.35,7931.35,--
其中：子公司吸收少数股东投资收到的现金,1,item,--,--,--,--
取得借款收到的现金,1,item,204362.82,173444.04,191521.00,152300.00
发行债券收到的现金,1,item,--,--,--,--
收到其他与筹资活动有关的现金,1,item,21863.70,21663.69,21663.69,--
筹资活动现金流入小计,1,total,234474.59,203039.08,221116.04,152300.00
偿还债务支付的现金,1,item,433390.00,409440.00,307240.00,259740.00
分配股利、利润或偿付利息所支付的现金,1,item,14520.91,12717.02,4935.50,2417.44
其中：子公司支付给少数股东的股利、利润,1,item,300.00,--,--,--
支付其他与筹资活动有关的现金,1,item,565.58,67431.35,3561.39,29632.89
筹资活动现金流出小计,1,total,448476.49,489588.37,315736.89,291790.33
筹资活动产生的现金流量净额,1,item,-214001.90,-286549.29,-94620.85,-139490.33
四、汇率变动对现金及现金等价物的影响,0,item,-2265.70,-1520.22,-764.32,-411.82
五、现金及现金等价物净增加额,0,item,-43083.26,-242692.14,-183237.66,-222489.72
加:期初现金及现金等价物余额,1,item,415904.69,415904.69,415904.69,415904.69
六、期末现金及现金等价物余额,0,item,372821.43,173212.55,232667.03,193414.98
附注,0,section
净利润,1,item,3319.00,--,11989.12,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,13955.61,--,2989.29,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,129534.45,--,60286.09,--
无形资产摊销,1,item,5775.61,--,2954.99,--
长期待摊费用摊销,1,item,213.53,--,106.77,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,-95.29,--,20.10,--
固定资产报废损失,1,item,3093.06,--,574.11,--
公允价值变动损失,1,item,940.00,--,--,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,8722.93,--,5048.04,--
投资损失,1,item,-34119.31,--,-18283.34,--
递延所得税资产减少,1,item,-12934.06,--,-3311.67,--
递延所得税负债增加,1,item,358.72,--,-103.56,--
存货的减少,1,item,158831.18,--,4829.05,--
经营性应收项目的减少,1,item,88291.69,--,-92078.08,--
经营性应付项目的增加,1,item,-344044.07,--,-45314.98,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,--,--,--,--
经营活动产生现金流量净额,1,item,24706.85,--,-71488.05,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,372821.43,--,232667.03,--
现金的期初余额,1,item,415904.69,--,415904.69,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,-43083.26,--,-183237.66,--
