科目,层级,类型,2017-12-31,2017-09-30,2017-06-30,2017-03-31
流动资产,0,section
货币资金,1,item,799720.88,282060.17,406002.07,339120.75
交易性金融资产,1,item,--,--,--,177.36
衍生金融资产,1,item,--,--,--,--
应收票据及应收账款,1,item,516035.72,--,480727.04,461551.19
应收票据,1,item,366139.78,346551.28,302916.50,252700.51
应收账款,1,item,149895.94,190823.82,177810.53,208850.68
应收款项融资,1,item,--,--,--,--
预付款项,1,item,53568.29,71422.90,106184.14,46893.91
其他应收款(合计),1,total,24039.08,--,21980.82,47595.82
应收利息,1,item,13605.07,14072.06,15259.89,17708.72
应收股利,1,item,1378.14,1378.14,1378.14,1476.54
其他应收款,1,item,9055.87,12067.87,5342.78,28410.57
买入返售金融资产,1,item,--,--,--,--
存货,1,item,510617.93,311631.86,336945.13,331711.68
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,--,--,--,--
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,196061.26,381857.59,246221.39,387160.01
流动资产合计,1,total,2100043.16,1611865.70,1598060.59,1614210.73
非流动资产,0,section
发放贷款及垫款,1,item,--,--,--,--
可供出售金融资产,1,item,5149.96,5149.96,5149.96,5149.96
持有至到期投资,1,item,--,--,--,--
长期应收款,1,item,--,--,--,--
长期股权投资,1,item,16396.36,15430.85,15448.97,15327.89
投资性房地产,1,item,--,--,--,--
在建工程(合计),1,total,29262.97,--,64634.18,49807.63
在建工程,1,item,29262.97,84999.56,64634.18,49807.63
工程物资,1,item,--,--,--,--
固定资产及清理(合计),1,total,1074601.82,--,1044365.46,1069510.52
固定资产净额,1,item,1074601.82,1021089.44,1044365.46,1069510.52
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,--,--,--,--
无形资产,1,item,84513.93,85370.98,85965.90,86556.58
开发支出,1,item,--,--,--,--
商誉,1,item,962.49,919.64,919.64,919.64
长期待摊费用,1,item,55.45,--,--,--
递延所得税资产,1,item,11475.48,13716.83,22000.14,27267.39
其他非流动资产,1,item,131.33,17.10,17.10,17.10
非流动资产合计,1,total,1222549.79,1226694.36,1238501.34,1254556.70
资产总计,1,total,3322592.94,2838560.06,2836561.92,2868767.43
流动负债,0,section
短期借款,1,item,474306.80,576470.41,570954.57,546695.47
交易性金融负债,1,item,--,--,--,--
应付票据及应付账款,1,item,709270.40,--,633774.62,678961.73
应付票据,1,item,150812.00,148422.28,154763.28,262223.00
应付账款,1,item,558458.40,487427.68,479011.34,416738.73
预收款项,1,item,259591.32,187638.48,173786.28,116569.31
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,69837.48,62103.92,59903.70,65971.00
应交税费,1,item,157180.34,59979.65,44094.59,38283.50
其他应付款(合计),1,total,67126.76,--,83908.68,98129.83
应付利息,1,item,5619.53,2837.41,15392.53,11232.17
应付股利,1,item,83.92,67.92,67.92,67.92
其他应付款,1,item,61423.30,72120.46,68448.24,86829.74
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,3614.68,2204.37,10853.98,91324.58
其他流动负债,1,item,--,534.79,100917.82,99822.52
流动负债合计,1,total,1740927.77,1599807.36,1678194.24,1735757.92
非流动负债,0,section
长期借款,1,item,--,--,--,--
应付债券,1,item,159771.73,159737.40,159699.25,159669.77
租赁负债,1,item,--,--,--,--
长期应付职工薪酬,1,item,10796.79,13230.11,13230.11,12510.94
长期应付款(合计),1,total,--,--,--,--
长期应付款,1,item,--,--,--,--
专项应付款,1,item,--,--,--,--
预计非流动负债,1,item,--,--,--,--
递延所得税负债,1,item,1179.36,1257.11,1257.11,1301.45
长期递延收益,1,item,21372.26,22337.02,23201.78,24066.55
其他非流动负债,1,item,--,--,--,--
非流动负债合计,1,total,193120.14,196561.65,197388.26,197548.70
负债合计,1,total,1934047.91,1796369.01,1875582.50,1933306.62
所有者权益,0,section
实收资本(或股本),1,item,318872.27,278689.62,278689.62,278689.62
资本公积,1,item,560817.78,428630.21,428630.21,428630.21
减：库存股,1,item,--,--,--,--
其他综合收益,1,item,206.92,500.30,885.08,1210.05
专项储备,1,item,--,--,--,--
盈余公积,1,item,55704.41,28354.04,28354.04,28367.14
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,399486.59,252318.70,171986.01,147573.24
归属于母公司股东权益合计,1,total,1335087.98,988492.87,908544.95,884470.25
少数股东权益,1,item,53457.05,53698.18,52434.47,50990.55
所有者权益(或股东权益)合计,1,total,1388545.04,1042191.05,960979.43,935460.80
负债和所有者权益(或股东权益)总计,1,total,3322592.94,2838560.06,2836561.92,2868767.43
