科目,层级,类型,2018-12-31,2018-09-30,2018-06-30,2018-03-31
一、营业总收入,0,item,30520486.68,22561969.78,14872236.95,6754632.32
营业收入,1,item,30477946.26,22532017.03,14853409.01,6745371.92
二、营业总成本,0,item,28192934.78,20734230.99,13670440.86,6092566.73
营业成本,1,item,25908499.60,19028447.92,12627521.86,5642652.65
营业税金及附加,1,item,162349.64,123361.22,84936.70,47473.74
销售费用,1,item,349270.81,244801.31,163594.41,72954.15
管理费用,1,item,592662.12,497809.54,569924.73,277465.64
财务费用,1,item,436607.13,369628.20,216634.21,24111.01
研发费用,1,item,703059.12,457656.38,--,--
资产减值损失,1,item,23139.10,515.59,252.29,23809.13
公允价值变动收益,1,item,18968.92,48392.06,32595.48,-29282.17
投资收益,1,item,412289.83,255330.04,169623.52,57040.33
其中:对联营企业和合营企业的投资收益,1,item,135870.00,99897.68,75520.00,40057.21
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,2818330.83,2178983.15,1420717.45,698621.85
加:营业外收入,1,item,31155.81,21711.23,9051.47,5932.24
减：营业外支出,1,item,67880.87,43823.22,21814.06,12702.43
其中：非流动资产处置损失,1,item,--,--,--,--
四、利润总额,0,item,2781605.76,2156871.17,1407954.87,691851.66
减：所得税费用,1,item,453791.67,438676.87,317841.63,138410.10
五、净利润,0,item,2327814.09,1718194.30,1090113.23,553441.56
归属于母公司所有者的净利润,1,item,2156516.38,1574743.42,1000920.48,502053.56
少数股东损益,1,item,171297.71,143450.88,89192.75,51388.01
六、每股收益,0,section
基本每股收益(元/股),1,item,0.9700,0.7100,0.4500,0.2300
稀释每股收益(元/股),1,item,0.9700,0.7100,0.4500,0.2300
七、其他综合收益,0,item,-3660.24,9471.04,-13725.78,-24246.15
八、综合收益总额,0,item,2324153.85,1727665.34,1076387.46,529195.41
归属于母公司所有者的综合收益总额,1,item,2151828.86,1582816.62,987365.18,478035.00
归属于少数股东的综合收益总额,1,item,172325.00,144848.72,89022.28,51160.41
