科目,层级,类型,2014-12-31,2014-09-30,2014-06-30,2014-03-31
流动资产,0,section
货币资金,1,item,854959.73,821007.89,784528.28,714652.82
交易性金融资产,1,item,--,--,--,--
衍生金融资产,1,item,--,--,--,--
应收票据及应收账款,1,item,--,--,--,--
应收票据,1,item,221732.64,273158.55,293644.00,254348.53
应收账款,1,item,169109.30,193208.89,137507.72,150225.41
应收款项融资,1,item,--,--,--,--
预付款项,1,item,18400.80,78969.38,79047.13,82362.67
其他应收款(合计),1,total,--,--,--,--
应收利息,1,item,14743.61,21987.13,19095.93,11045.44
应收股利,1,item,--,--,--,--
其他应收款,1,item,4528.38,9816.56,6774.94,6515.40
买入返售金融资产,1,item,--,--,--,--
存货,1,item,352639.79,338179.58,396195.84,436299.11
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,--,--,--,--
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,12015.37,8675.44,6521.10,7341.62
流动资产合计,1,total,1648129.63,1745003.41,1723314.93,1662791.00
非流动资产,0,section
发放贷款及垫款,1,item,--,--,--,--
可供出售金融资产,1,item,5000.00,5000.00,--,--
持有至到期投资,1,item,--,--,--,--
长期应收款,1,item,--,--,--,--
长期股权投资,1,item,21337.72,21795.18,26505.75,26668.68
投资性房地产,1,item,--,--,--,--
在建工程(合计),1,total,--,--,--,--
在建工程,1,item,26086.32,56359.55,40470.70,32579.14
工程物资,1,item,80.17,--,--,--
固定资产及清理(合计),1,total,--,--,--,--
固定资产净额,1,item,1190387.22,1189682.34,1221567.03,1254869.50
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,--,--,--,--
无形资产,1,item,116591.89,117207.65,117936.86,118896.73
开发支出,1,item,--,--,--,--
商誉,1,item,825.06,825.06,825.06,825.06
长期待摊费用,1,item,--,--,--,--
递延所得税资产,1,item,39638.07,39517.26,41970.84,42395.18
其他非流动资产,1,item,1460.87,--,--,--
非流动资产合计,1,total,1401407.32,1430387.03,1449276.25,1476234.29
资产总计,1,total,3049536.94,3175390.45,3172591.18,3139025.29
流动负债,0,section
短期借款,1,item,683995.72,740487.24,752256.87,692300.01
交易性金融负债,1,item,--,--,--,--
应付票据及应付账款,1,item,--,--,--,--
应付票据,1,item,60859.20,62640.00,60180.00,75098.00
应付账款,1,item,435433.55,421204.35,457924.65,437337.84
预收款项,1,item,109520.25,142216.29,126857.44,144049.09
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,74485.71,61812.52,57982.33,59689.63
应交税费,1,item,22252.88,22874.32,28715.73,22118.51
其他应付款(合计),1,total,--,--,--,--
应付利息,1,item,6729.51,16215.51,18351.30,11583.06
应付股利,1,item,--,150.00,150.00,--
其他应付款,1,item,49113.09,102043.41,90396.44,91431.50
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,113050.00,33100.00,33100.00,71000.00
其他流动负债,1,item,156736.06,311084.23,301499.62,300960.19
流动负债合计,1,total,1712175.96,1913827.87,1927414.38,1905567.83
非流动负债,0,section
长期借款,1,item,195250.00,325494.51,325494.51,315000.00
应付债券,1,item,248710.34,89226.41,89148.03,89738.91
租赁负债,1,item,--,--,--,--
长期应付职工薪酬,1,item,19762.57,--,--,--
长期应付款(合计),1,total,--,--,--,--
长期应付款,1,item,--,--,--,--
专项应付款,1,item,--,--,--,--
预计非流动负债,1,item,--,--,--,--
递延所得税负债,1,item,1506.02,1714.73,1714.73,1045.46
长期递延收益,1,item,17326.39,--,--,--
其他非流动负债,1,item,--,17286.48,17625.32,17017.16
非流动负债合计,1,total,482555.32,433722.12,433982.58,422801.53
负债合计,1,total,2194731.28,2347550.00,2361396.97,2328369.36
所有者权益,0,section
实收资本(或股本),1,item,139344.81,139344.81,139344.81,139344.81
资本公积,1,item,568007.90,568225.80,568225.80,568225.80
减：库存股,1,item,--,--,--,--
其他综合收益,1,item,-53.63,--,--,--
专项储备,1,item,--,--,--,--
盈余公积,1,item,24727.79,22454.41,22454.41,22454.41
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,71827.13,47020.06,31562.14,31236.83
归属于母公司股东权益合计,1,total,803854.01,777023.06,761565.73,761240.08
少数股东权益,1,item,50951.65,50817.40,49628.48,49415.85
所有者权益(或股东权益)合计,1,total,854805.66,827840.45,811194.21,810655.93
负债和所有者权益(或股东权益)总计,1,total,3049536.94,3175390.45,3172591.18,3139025.29
