科目,层级,类型,2016-12-31,2016-09-30,2016-06-30,2016-03-31
一、营业总收入,0,item,18571028.82,13361107.09,7811131.21,3534221.23
营业收入,1,item,18545864.96,13343532.69,7799279.98,3527345.14
二、营业总成本,0,item,17559492.07,12613481.73,7330788.99,3304754.22
营业成本,1,item,16185137.41,11711850.83,6707025.99,3087057.55
营业税金及附加,1,item,52349.91,37501.71,29743.87,13909.16
销售费用,1,item,226762.51,149032.69,101649.97,48997.02
管理费用,1,item,758798.17,498941.43,336192.89,114770.71
财务费用,1,item,218597.22,175272.80,115676.68,52841.97
研发费用,1,item,--,--,--,--
资产减值损失,1,item,98068.44,26257.84,30205.94,-19027.59
公允价值变动收益,1,item,10281.19,-1349.26,-4725.47,-17595.72
投资收益,1,item,137707.71,67884.17,35585.07,6918.87
其中:对联营企业和合营企业的投资收益,1,item,33180.27,20135.84,11098.40,3384.51
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,1159525.65,814160.26,511201.82,218790.17
加:营业外收入,1,item,43909.51,28949.96,17002.64,7113.17
减：营业外支出,1,item,51452.34,32375.87,26009.23,7632.01
其中：非流动资产处置损失,1,item,47153.75,29457.45,22854.74,6999.41
四、利润总额,0,item,1151982.81,810734.35,502195.23,218271.32
减：所得税费用,1,item,231452.97,228169.13,140054.35,64438.31
五、净利润,0,item,920529.84,582565.22,362140.88,153833.01
归属于母公司所有者的净利润,1,item,896551.41,559751.81,346848.28,152852.57
少数股东损益,1,item,23978.43,22813.41,15292.60,980.44
六、每股收益,0,section
基本每股收益(元/股),1,item,0.5500,0.3400,0.2100,0.0900
稀释每股收益(元/股),1,item,0.5500,0.3400,0.2100,0.0900
七、其他综合收益,0,item,44038.60,45175.76,30181.79,11599.33
八、综合收益总额,0,item,964568.44,627740.98,392322.66,165432.35
归属于母公司所有者的综合收益总额,1,item,939128.91,603138.87,375939.22,164099.36
归属于少数股东的综合收益总额,1,item,25439.53,24602.11,16383.45,1332.99
