科目,层级,类型,2021-12-31,2021-09-30,2021-06-30,2021-03-31
流动资产,0,section
货币资金,1,item,506153.36,308291.50,234677.43,356469.19
交易性金融资产,1,item,139212.60,100545.64,72306.52,74020.57
衍生金融资产,1,item,--,--,--,--
应收票据及应收账款,1,item,189915.18,229114.84,205183.76,248296.63
应收票据,1,item,666.97,--,--,--
应收账款,1,item,189248.21,229114.84,205183.76,248296.63
应收款项融资,1,item,723677.57,1035669.00,765137.20,625840.40
预付款项,1,item,376354.03,285543.24,239338.81,285919.69
其他应收款(合计),1,total,17138.40,24792.72,30365.49,31243.81
应收利息,1,item,--,1510.22,1225.28,1034.99
应收股利,1,item,--,--,--,149.11
其他应收款,1,item,17138.40,--,29140.21,--
买入返售金融资产,1,item,--,--,--,--
存货,1,item,624861.95,652353.62,795343.31,709275.77
划分为持有待售的资产,1,item,5000.00,--,--,--
一年内到期的非流动资产,1,item,--,--,--,--
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,859433.80,672419.88,652906.98,525581.16
流动资产合计,1,total,3446305.62,3315047.72,3000101.05,2860747.47
非流动资产,0,section
发放贷款及垫款,1,item,--,--,--,--
可供出售金融资产,1,item,--,--,--,--
持有至到期投资,1,item,742268.49,941000.00,971044.99,942044.99
长期应收款,1,item,--,--,--,--
长期股权投资,1,item,26130.64,26984.07,26646.58,23892.56
投资性房地产,1,item,--,--,--,--
在建工程(合计),1,total,136155.62,306829.83,255813.22,193199.17
在建工程,1,item,125964.67,--,241225.60,--
工程物资,1,item,10190.95,--,14587.62,--
固定资产及清理(合计),1,total,1377876.57,1160573.98,1175378.43,1201144.53
固定资产净额,1,item,1377876.57,--,1175378.43,--
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,1373.89,--,--,--
无形资产,1,item,91452.94,85298.17,85997.91,86697.65
开发支出,1,item,--,--,--,--
商誉,1,item,962.49,962.49,962.49,962.49
长期待摊费用,1,item,907.52,307.49,386.20,--
递延所得税资产,1,item,6840.31,5638.50,5342.09,6027.09
其他非流动资产,1,item,28100.55,47942.55,51317.36,45408.37
非流动资产合计,1,total,2424985.83,2588458.17,2590130.37,2516617.95
资产总计,1,total,5871291.45,5903505.89,5590231.42,5377365.41
流动负债,0,section
短期借款,1,item,311380.67,273834.36,301819.95,322976.13
交易性金融负债,1,item,252.77,--,--,--
应付票据及应付账款,1,item,1879632.38,1950919.56,1914214.63,1751559.92
应付票据,1,item,1228376.79,1390243.75,1407857.45,1433764.65
应付账款,1,item,651255.59,560675.81,506357.18,317795.27
预收款项,1,item,--,--,--,--
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,100798.57,89292.57,85423.97,87528.76
应交税费,1,item,113723.22,77136.79,47304.84,41858.11
其他应付款(合计),1,total,96952.12,127520.27,131239.06,94585.46
应付利息,1,item,--,100.16,34.22,34.62
应付股利,1,item,--,--,--,--
其他应付款,1,item,96952.12,--,131204.84,--
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,57522.94,2298.49,2298.49,2230.76
其他流动负债,1,item,59731.08,70925.37,49438.83,57931.28
流动负债合计,1,total,3079263.08,3149390.01,2946101.76,2787051.29
非流动负债,0,section
长期借款,1,item,--,55000.00,55000.00,55000.00
应付债券,1,item,--,--,--,--
租赁负债,1,item,798.62,--,--,--
长期应付职工薪酬,1,item,2911.85,2866.92,3309.87,522.53
长期应付款(合计),1,total,7000.00,7000.00,2000.00,2000.00
长期应付款,1,item,--,--,--,--
专项应付款,1,item,--,--,--,--
预计非流动负债,1,item,130.63,--,--,--
递延所得税负债,1,item,948.04,861.02,861.02,899.79
长期递延收益,1,item,15023.16,15969.29,16923.75,17378.21
其他非流动负债,1,item,--,--,--,--
非流动负债合计,1,total,26812.30,81697.23,78094.64,75800.53
负债合计,1,total,3106075.38,3231087.23,3024196.40,2862851.82
所有者权益,0,section
实收资本(或股本),1,item,318872.27,318872.27,318872.27,318872.27
资本公积,1,item,560817.78,560817.78,560817.78,560817.78
减：库存股,1,item,26145.35,26145.35,26145.35,26145.35
其他综合收益,1,item,-578.16,-174.52,-269.64,119.46
专项储备,1,item,--,--,--,--
盈余公积,1,item,210617.20,171159.78,171159.78,171159.78
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,1626331.30,1574337.61,1471820.23,1422248.98
归属于母公司股东权益合计,1,total,2689915.04,2598867.57,2496255.07,2447072.92
少数股东权益,1,item,75301.04,73551.08,69779.95,67440.68
所有者权益(或股东权益)合计,1,total,2765216.07,2672418.65,2566035.02,2514513.59
负债和所有者权益(或股东权益)总计,1,total,5871291.45,5903505.89,5590231.42,5377365.41
