科目,层级,类型,2018-12-31,2018-09-30,2018-06-30,2018-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,3091295.66,2271481.55,1461641.58,742855.91
收到的税费返还,1,item,4513.72,4162.70,2725.09,1446.66
收到的其他与经营活动有关的现金,1,item,123766.70,119721.64,56059.04,14451.47
经营活动现金流入小计,1,total,3219576.08,2395365.88,1520425.70,758754.04
购买商品、接受劳务支付的现金,1,item,1635740.70,1436470.39,982412.75,521032.43
支付给职工以及为职工支付的现金,1,item,231775.77,170612.22,102069.40,52556.65
支付的各项税费,1,item,217234.89,161622.33,150860.15,61832.35
支付的其他与经营活动有关的现金,1,item,838083.79,125815.49,69894.87,12754.12
经营活动现金流出小计,1,total,2922835.15,1894520.43,1305237.17,648175.54
经营活动产生的现金流量净额,1,item,296740.93,500845.46,215188.53,110578.50
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,253500.00,110000.00,50000.00,--
取得投资收益所收到的现金,1,item,4832.64,1488.59,1082.46,--
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,2007.72,1396.54,1371.24,4.21
收到的其他与投资活动有关的现金,1,item,--,1450.00,1450.00,--
投资活动现金流入小计,1,total,260340.35,114335.13,53903.69,4.21
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,149333.22,89163.58,62209.32,7320.57
投资所支付的现金,1,item,339528.94,247006.29,50000.00,54196.00
支付的其他与投资活动有关的现金,1,item,4811.61,--,--,--
投资活动现金流出小计,1,total,493673.77,336169.87,112209.32,61516.57
投资活动产生的现金流量净额,1,item,-233333.42,-221834.74,-58305.63,-61512.36
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,200.00,--,--,--
其中：子公司吸收少数股东投资收到的现金,1,item,200.00,--,--,--
取得借款收到的现金,1,item,514580.00,368640.00,214940.00,128540.00
发行债券收到的现金,1,item,--,--,--,--
收到其他与筹资活动有关的现金,1,item,--,214.90,213.77,--
筹资活动现金流入小计,1,total,514780.00,368854.90,215153.77,128540.00
偿还债务支付的现金,1,item,654897.88,478197.10,270509.13,174207.10
分配股利、利润或偿付利息所支付的现金,1,item,62615.43,47092.41,39510.81,5084.67
其中：子公司支付给少数股东的股利、利润,1,item,243.91,--,--,--
支付其他与筹资活动有关的现金,1,item,255.75,--,--,--
筹资活动现金流出小计,1,total,717769.06,525289.51,310019.94,179291.77
筹资活动产生的现金流量净额,1,item,-202989.06,-156434.61,-94866.17,-50751.77
四、汇率变动对现金及现金等价物的影响,0,item,-1751.74,-3464.00,-533.02,3696.98
五、现金及现金等价物净增加额,0,item,-141333.28,119112.10,61483.72,2011.35
加:期初现金及现金等价物余额,1,item,692552.95,692552.95,692552.95,692552.95
六、期末现金及现金等价物余额,0,item,551219.66,811665.05,754036.67,694564.29
附注,0,section
净利润,1,item,591325.87,--,216494.45,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,1641.36,--,3000.83,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,105982.77,--,51336.22,--
无形资产摊销,1,item,2338.88,--,1039.04,--
长期待摊费用摊销,1,item,18.02,--,--,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,-1149.00,--,-1352.49,--
固定资产报废损失,1,item,3471.21,--,100.46,--
公允价值变动损失,1,item,4.03,--,--,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,36257.93,--,19055.58,--
投资损失,1,item,-4511.40,--,-1458.94,--
递延所得税资产减少,1,item,3480.53,--,102.71,--
递延所得税负债增加,1,item,-111.76,--,--,--
存货的减少,1,item,-28132.63,--,251606.67,--
经营性应收项目的减少,1,item,-874563.73,--,-146565.01,--
经营性应付项目的增加,1,item,400671.11,--,-255990.96,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,60017.72,--,77819.99,--
经营活动产生现金流量净额,1,item,296740.93,--,215188.53,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,551219.66,--,754036.67,--
现金的期初余额,1,item,692552.95,--,692552.95,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,-141333.28,--,61483.72,--
