科目,层级,类型,2015-12-31,2015-09-30,2015-06-30,2015-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,1372628.59,1105485.39,751640.50,334431.41
收到的税费返还,1,item,4352.58,2793.00,2793.00,1431.70
收到的其他与经营活动有关的现金,1,item,61913.92,38989.19,29394.56,9935.90
经营活动现金流入小计,1,total,1438895.10,1147267.59,783828.06,345799.01
购买商品、接受劳务支付的现金,1,item,878362.97,689641.58,502365.89,282580.54
支付给职工以及为职工支付的现金,1,item,184652.46,146314.60,95319.75,42578.69
支付的各项税费,1,item,62110.47,47726.62,31514.21,11174.15
支付的其他与经营活动有关的现金,1,item,108954.81,273048.76,163001.52,12081.19
经营活动现金流出小计,1,total,1234080.71,1156731.56,792201.36,348414.57
经营活动产生的现金流量净额,1,item,204814.39,-9463.97,-8373.30,-2615.57
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,104350.00,80000.00,--,--
取得投资收益所收到的现金,1,item,1223.91,1586.53,513.19,181.63
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,13.08,343.65,0.23,0.23
收到的其他与投资活动有关的现金,1,item,5000.00,5000.00,5000.00,--
投资活动现金流入小计,1,total,193360.13,86930.18,5513.42,181.86
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,21553.11,15537.18,7036.54,2632.45
投资所支付的现金,1,item,225050.00,170000.00,80000.00,--
支付的其他与投资活动有关的现金,1,item,--,--,--,--
投资活动现金流出小计,1,total,246603.11,185537.18,87036.54,2632.45
投资活动产生的现金流量净额,1,item,-53242.97,-98607.01,-81523.13,-2450.59
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,--,--,--,--
其中：子公司吸收少数股东投资收到的现金,1,item,--,--,--,--
取得借款收到的现金,1,item,1048337.65,861793.93,575126.30,236679.05
发行债券收到的现金,1,item,--,--,--,--
收到其他与筹资活动有关的现金,1,item,--,--,--,--
筹资活动现金流入小计,1,total,1048337.65,861793.93,575126.30,236679.05
偿还债务支付的现金,1,item,1258548.47,847941.51,621065.82,267835.09
分配股利、利润或偿付利息所支付的现金,1,item,81014.49,38665.35,26773.64,12401.18
其中：子公司支付给少数股东的股利、利润,1,item,1745.76,--,--,--
支付其他与筹资活动有关的现金,1,item,920.00,--,--,--
筹资活动现金流出小计,1,total,1340482.96,886606.86,647839.46,280236.28
筹资活动产生的现金流量净额,1,item,-292145.31,-24812.93,-72713.16,-43557.23
四、汇率变动对现金及现金等价物的影响,0,item,-2209.05,663.98,-922.46,-256.78
五、现金及现金等价物净增加额,0,item,-142782.95,-132219.93,-163532.05,-48880.17
加:期初现金及现金等价物余额,1,item,408693.51,408693.51,408693.51,408693.51
六、期末现金及现金等价物余额,0,item,265910.57,276473.58,245161.46,359813.34
附注,0,section
净利润,1,item,5444.59,--,-13378.62,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,1268.27,--,4453.56,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,125431.61,--,59409.43,--
无形资产摊销,1,item,3065.72,--,1531.19,--
长期待摊费用摊销,1,item,--,--,--,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,10.29,--,3.05,--
固定资产报废损失,1,item,--,--,--,--
公允价值变动损失,1,item,--,--,--,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,80826.70,--,23882.35,--
投资损失,1,item,-44415.81,--,876.55,--
递延所得税资产减少,1,item,-3666.67,--,-5671.69,--
递延所得税负债增加,1,item,-194.83,--,--,--
存货的减少,1,item,88495.09,--,40876.64,--
经营性应收项目的减少,1,item,72818.19,--,113693.63,--
经营性应付项目的增加,1,item,-61286.79,--,-90285.22,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,-62981.97,--,-143764.17,--
经营活动产生现金流量净额,1,item,204814.39,--,-8373.30,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,265910.57,--,245161.46,--
现金的期初余额,1,item,408693.51,--,408693.51,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,-142782.95,--,-163532.05,--
