科目,层级,类型,2018-12-31,2018-09-30,2018-06-30,2018-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,35023883.17,26204852.24,16786716.23,7611276.75
收到的税费返还,1,item,69836.00,62580.99,39828.03,20451.55
收到的其他与经营活动有关的现金,1,item,152345.07,135506.23,90419.04,34454.92
经营活动现金流入小计,1,total,35337251.29,26472333.89,16975430.16,7856829.88
购买商品、接受劳务支付的现金,1,item,27192797.09,19992718.09,12929956.81,6233331.41
支付给职工以及为职工支付的现金,1,item,1542736.50,1008135.07,652449.24,356059.04
支付的各项税费,1,item,1389827.24,1180539.74,889705.09,437595.23
支付的其他与经营活动有关的现金,1,item,436880.21,422968.90,235413.01,128324.01
经营活动现金流出小计,1,total,30776646.38,22797136.14,15028489.97,7497734.87
经营活动产生的现金流量净额,1,item,4560604.91,3675197.75,1946940.18,359095.02
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,7880652.93,6670741.43,5301724.07,1502979.44
取得投资收益所收到的现金,1,item,294920.18,180450.54,157449.74,34749.86
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,8046.91,8790.54,3841.25,2121.19
收到的其他与投资活动有关的现金,1,item,29608.80,15548.42,7699.07,2796.67
投资活动现金流入小计,1,total,8213228.81,6875530.93,5470714.12,1542647.15
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,1275963.31,864961.34,558095.46,286997.72
投资所支付的现金,1,item,7292569.49,6997936.84,5101725.21,1453914.88
支付的其他与投资活动有关的现金,1,item,5860.68,7415.91,45785.93,17983.15
投资活动现金流出小计,1,total,8631878.49,7870314.08,5705606.61,1758895.75
投资活动产生的现金流量净额,1,item,-418649.68,-994783.16,-234892.48,-216248.60
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,42624.92,33400.00,--,--
其中：子公司吸收少数股东投资收到的现金,1,item,40946.29,33400.00,--,--
取得借款收到的现金,1,item,8157519.34,6486364.88,5044352.85,2849351.66
发行债券收到的现金,1,item,3068800.00,2068800.00,668800.00,11726.20
收到其他与筹资活动有关的现金,1,item,--,6682.20,6682.20,6682.20
筹资活动现金流入小计,1,total,11268944.26,8595247.08,5719835.05,2867760.06
偿还债务支付的现金,1,item,14009068.47,9933746.10,5899836.98,2848164.67
分配股利、利润或偿付利息所支付的现金,1,item,1371802.79,1290884.02,1070134.39,89045.18
其中：子公司支付给少数股东的股利、利润,1,item,40774.69,26185.39,26185.39,--
支付其他与筹资活动有关的现金,1,item,404142.32,45946.74,30572.39,18072.39
筹资活动现金流出小计,1,total,15785013.57,11270576.85,7000543.76,2955282.24
筹资活动产生的现金流量净额,1,item,-4516069.31,-2675329.77,-1280708.71,-87522.18
四、汇率变动对现金及现金等价物的影响,0,item,-10419.26,2952.94,-2163.84,-14911.89
五、现金及现金等价物净增加额,0,item,-384533.33,8037.77,429175.15,40412.35
加:期初现金及现金等价物余额,1,item,1991230.92,1991230.92,1991230.92,1991230.92
六、期末现金及现金等价物余额,0,item,1606697.59,1999268.68,2420406.07,2031643.27
附注,0,section
净利润,1,item,2327814.09,--,1090113.23,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,23139.10,--,252.29,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,1854932.32,--,891499.34,--
无形资产摊销,1,item,46203.52,--,24668.38,--
长期待摊费用摊销,1,item,16748.84,--,7778.70,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,--,--,16378.14,--
固定资产报废损失,1,item,35047.70,--,--,--
公允价值变动损失,1,item,-18968.92,--,-32595.48,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,428935.30,--,212968.20,--
投资损失,1,item,-412289.83,--,-169623.52,--
递延所得税资产减少,1,item,-50723.46,--,-14359.66,--
递延所得税负债增加,1,item,20275.60,--,28966.02,--
存货的减少,1,item,-188046.76,--,-44014.61,--
经营性应收项目的减少,1,item,326656.32,--,-144939.82,--
经营性应付项目的增加,1,item,150881.09,--,79848.97,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,--,--,--,--
经营活动产生现金流量净额,1,item,4560604.91,--,1946940.18,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,1556697.59,--,2420406.07,--
现金的期初余额,1,item,1632839.02,--,1632839.02,--
现金等价物的期末余额,1,item,50000.00,--,--,--
现金等价物的期初余额,1,item,358391.90,--,358391.90,--
现金及现金等价物的净增加额,1,item,-384533.33,--,429175.15,--
