科目,层级,类型,2016-12-31,2016-09-30,2016-06-30,2016-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,22020083.12,15738350.60,9232285.73,4167019.03
收到的税费返还,1,item,22231.02,17274.56,12307.85,10102.50
收到的其他与经营活动有关的现金,1,item,211215.09,115083.18,87244.42,50302.24
经营活动现金流入小计,1,total,22294530.21,15945369.77,9382908.49,4501679.05
购买商品、接受劳务支付的现金,1,item,18442509.04,12977671.17,7300428.64,3349202.83
支付给职工以及为职工支付的现金,1,item,957260.19,659952.98,421875.83,212765.86
支付的各项税费,1,item,672369.51,456260.03,381167.32,125111.84
支付的其他与经营活动有关的现金,1,item,354313.06,402167.48,104845.47,51922.79
经营活动现金流出小计,1,total,20657276.17,15003215.36,8555224.90,3761614.51
经营活动产生的现金流量净额,1,item,1637254.03,942154.41,827683.58,740064.53
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,6524582.71,3595981.45,2136964.46,576767.24
取得投资收益所收到的现金,1,item,115070.20,65328.24,34397.51,12604.63
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,4966.64,2923.69,1795.24,1408.50
收到的其他与投资活动有关的现金,1,item,495141.37,493188.59,491451.10,1393.94
投资活动现金流入小计,1,total,7140090.01,4157421.97,2664608.31,592174.31
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,1154030.09,642247.93,583252.10,295692.07
投资所支付的现金,1,item,7742643.92,5832994.19,4781369.23,2539830.63
支付的其他与投资活动有关的现金,1,item,18340.53,17859.88,12437.98,4929.78
投资活动现金流出小计,1,total,8916588.26,6493102.00,5377059.30,2840452.48
投资活动产生的现金流量净额,1,item,-1776498.26,-2335680.03,-2712450.99,-2248278.17
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,72027.39,60617.99,60617.99,225.00
其中：子公司吸收少数股东投资收到的现金,1,item,72027.39,60617.99,60617.99,225.00
取得借款收到的现金,1,item,8369756.24,4596699.05,3407336.24,2537339.62
发行债券收到的现金,1,item,3300000.00,1500000.00,1500000.00,1500000.00
收到其他与筹资活动有关的现金,1,item,--,--,--,--
筹资活动现金流入小计,1,total,11741783.62,6157317.04,4967954.22,4037564.62
偿还债务支付的现金,1,item,11211051.44,4536152.13,2519514.85,1958060.53
分配股利、利润或偿付利息所支付的现金,1,item,369078.34,262614.92,209866.03,47429.65
其中：子公司支付给少数股东的股利、利润,1,item,16983.74,8836.90,8836.10,--
支付其他与筹资活动有关的现金,1,item,3643.41,2715.41,--,--
筹资活动现金流出小计,1,total,11583773.19,4801482.46,2729380.88,2005490.19
筹资活动产生的现金流量净额,1,item,158010.43,1355834.58,2238573.34,2032074.43
四、汇率变动对现金及现金等价物的影响,0,item,17696.13,13435.46,7628.25,-1966.98
五、现金及现金等价物净增加额,0,item,36462.34,-24255.58,361434.18,521893.81
加:期初现金及现金等价物余额,1,item,910888.83,910888.83,910888.83,910888.83
六、期末现金及现金等价物余额,0,item,947351.17,886633.25,1272323.01,1432782.64
附注,0,section
净利润,1,item,920529.84,--,362140.88,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,98068.44,--,30205.94,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,1184823.63,--,503890.97,--
无形资产摊销,1,item,37895.31,--,18374.50,--
长期待摊费用摊销,1,item,9279.38,--,4273.99,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,43891.61,--,20839.88,--
固定资产报废损失,1,item,--,--,--,--
公允价值变动损失,1,item,-10281.19,--,4725.47,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,211669.67,--,113039.71,--
投资损失,1,item,-137707.71,--,-35585.07,--
递延所得税资产减少,1,item,19260.05,--,-18013.13,--
递延所得税负债增加,1,item,12342.83,--,3327.02,--
存货的减少,1,item,-1240541.35,--,-300405.31,--
经营性应收项目的减少,1,item,-1156173.77,--,-165235.64,--
经营性应付项目的增加,1,item,1644197.30,--,286104.40,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,--,--,--,--
经营活动产生现金流量净额,1,item,1637254.03,--,827683.58,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,947351.17,--,1272323.01,--
现金的期初余额,1,item,696888.83,--,696888.83,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,214000.00,--,214000.00,--
现金及现金等价物的净增加额,1,item,36462.34,--,361434.18,--
