科目,层级,类型,2024-12-31,2024-09-30,2024-06-30,2024-03-31
流动资产,0,section
货币资金,1,item,453055.75,373530.27,326511.66,342851.10
交易性金融资产,1,item,--,--,--,--
衍生金融资产,1,item,--,--,--,--
应收票据及应收账款,1,item,152116.80,180820.40,259936.95,210588.86
应收票据,1,item,55043.40,14921.95,12975.71,8479.21
应收账款,1,item,97073.40,165898.44,246961.24,202109.64
应收款项融资,1,item,296947.93,503781.54,504847.80,486643.97
预付款项,1,item,37132.47,37797.40,92532.49,137627.08
其他应收款(合计),1,total,4289.55,13138.07,10840.04,24957.53
应收利息,1,item,--,--,--,--
应收股利,1,item,855.24,--,--,--
其他应收款,1,item,3434.31,--,10840.04,--
买入返售金融资产,1,item,--,--,--,--
存货,1,item,441616.38,450679.92,452220.44,447398.60
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,491678.95,382555.75,239162.75,266000.00
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,232720.98,198313.66,224749.87,190058.07
流动资产合计,1,total,2109558.81,2140617.00,2110801.98,2106125.21
非流动资产,0,section
发放贷款及垫款,1,item,--,--,--,--
可供出售金融资产,1,item,--,--,--,--
持有至到期投资,1,item,935036.83,1067575.08,1215645.14,1120199.14
长期应收款,1,item,--,--,--,--
长期股权投资,1,item,39844.85,18936.28,19237.55,19173.53
投资性房地产,1,item,--,--,--,--
在建工程(合计),1,total,401134.32,332718.13,257297.90,211057.47
在建工程,1,item,398666.91,--,257297.90,--
工程物资,1,item,2467.40,--,--,--
固定资产及清理(合计),1,total,1553079.62,1412189.54,1451195.23,1460693.72
固定资产净额,1,item,1553079.62,--,1451195.23,--
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,95.80,129.56,166.76,218.70
无形资产,1,item,106148.60,91527.54,90278.45,90867.74
开发支出,1,item,--,--,--,--
商誉,1,item,227.35,825.06,825.06,825.06
长期待摊费用,1,item,266.92,320.30,573.69,627.07
递延所得税资产,1,item,40680.99,22399.87,22576.59,24217.14
其他非流动资产,1,item,14356.88,35142.01,33643.08,31346.78
非流动资产合计,1,total,3126279.28,3016577.48,3126253.57,2993935.58
资产总计,1,total,5235838.08,5157194.48,5237055.54,5100060.79
流动负债,0,section
短期借款,1,item,190848.04,232385.46,198120.54,223725.37
交易性金融负债,1,item,--,--,--,--
应付票据及应付账款,1,item,1674601.44,1506561.19,1532695.23,1383674.56
应付票据,1,item,1052383.71,981799.86,1031110.62,992390.38
应付账款,1,item,622217.73,524761.34,501584.61,391284.19
预收款项,1,item,--,--,--,--
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,48791.75,54221.20,49811.91,50956.48
应交税费,1,item,11724.72,10435.62,11554.25,11941.79
其他应付款(合计),1,total,85241.95,88595.75,146308.36,167734.34
应付利息,1,item,--,--,--,--
应付股利,1,item,--,--,47184.78,--
其他应付款,1,item,85241.95,--,99123.58,--
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,61631.53,91510.29,93537.11,21298.80
其他流动负债,1,item,21417.11,29479.10,23709.74,12431.10
流动负债合计,1,total,2259379.45,2226737.55,2253038.56,2012152.77
非流动负债,0,section
长期借款,1,item,283050.00,284132.48,285350.00,340875.00
应付债券,1,item,--,--,--,--
租赁负债,1,item,65.15,76.45,59.38,148.36
长期应付职工薪酬,1,item,6907.21,5006.55,8010.98,12271.62
长期应付款(合计),1,total,--,--,--,5000.00
长期应付款,1,item,--,--,--,--
专项应付款,1,item,--,--,--,--
预计非流动负债,1,item,530.97,528.21,568.07,565.38
递延所得税负债,1,item,620.51,863.97,863.97,811.19
长期递延收益,1,item,16136.92,14340.35,12994.65,13440.62
其他非流动负债,1,item,--,--,--,--
非流动负债合计,1,total,307310.75,304948.01,307847.05,373112.17
负债合计,1,total,2566690.20,2531685.57,2560885.61,2385264.93
所有者权益,0,section
实收资本(或股本),1,item,314565.21,314565.21,314565.21,314565.21
资本公积,1,item,534203.96,534203.96,534203.96,534203.96
减：库存股,1,item,--,--,--,--
其他综合收益,1,item,3767.11,2725.53,3438.63,2953.73
专项储备,1,item,732.29,1490.65,1490.65,1490.65
盈余公积,1,item,220996.97,221009.72,221009.72,221009.72
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,1538406.80,1477363.47,1527696.16,1566816.31
归属于母公司股东权益合计,1,total,2612672.35,2551358.53,2602404.33,2641039.59
少数股东权益,1,item,56475.53,74150.38,73765.61,73756.27
所有者权益(或股东权益)合计,1,total,2669147.88,2625508.91,2676169.94,2714795.85
负债和所有者权益(或股东权益)总计,1,total,5235838.08,5157194.48,5237055.54,5100060.79
