科目,层级,类型,2022-12-31,2022-09-30,2022-06-30,2022-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,9206705.99,5673944.64,3744832.75,1958016.45
收到的税费返还,1,item,23808.14,18872.09,11742.22,5840.51
收到的其他与经营活动有关的现金,1,item,716305.51,382716.75,271654.19,233191.02
经营活动现金流入小计,1,total,9946819.64,6075533.49,4028229.16,2197047.98
购买商品、接受劳务支付的现金,1,item,8458205.12,5105776.25,3381829.12,1834412.48
支付给职工以及为职工支付的现金,1,item,382484.63,250344.03,168811.23,81619.72
支付的各项税费,1,item,207499.86,176793.73,170711.57,60545.77
支付的其他与经营活动有关的现金,1,item,890819.45,445958.39,231792.99,176263.78
经营活动现金流出小计,1,total,9939009.05,5978872.40,3953144.91,2152841.75
经营活动产生的现金流量净额,1,item,7810.58,96661.09,75084.26,44206.23
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,1213284.13,830452.45,482103.06,340081.31
取得投资收益所收到的现金,1,item,39733.90,20159.89,9826.66,8450.98
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,288.67,114.61,1.29,--
收到的其他与投资活动有关的现金,1,item,--,--,--,--
投资活动现金流入小计,1,total,1282486.13,879966.78,491931.01,348532.29
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,116399.91,96112.56,65706.86,52339.04
投资所支付的现金,1,item,1027360.23,815150.30,615900.00,546300.00
支付的其他与投资活动有关的现金,1,item,2626.54,--,--,--
投资活动现金流出小计,1,total,1146386.68,911262.86,681606.86,598639.04
投资活动产生的现金流量净额,1,item,136099.45,-31296.07,-189675.85,-250106.75
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,--,--,--,--
其中：子公司吸收少数股东投资收到的现金,1,item,--,--,--,--
取得借款收到的现金,1,item,593042.43,384298.76,330985.59,141900.00
发行债券收到的现金,1,item,--,--,--,--
收到其他与筹资活动有关的现金,1,item,--,--,--,--
筹资活动现金流入小计,1,total,593042.43,384298.76,330985.59,141900.00
偿还债务支付的现金,1,item,608819.17,451472.97,270532.01,115350.00
分配股利、利润或偿付利息所支付的现金,1,item,170024.44,171590.10,162104.35,4030.94
其中：子公司支付给少数股东的股利、利润,1,item,393.91,--,9583.10,--
支付其他与筹资活动有关的现金,1,item,6969.13,3587.59,9583.10,8460.67
筹资活动现金流出小计,1,total,785812.73,626650.65,442219.46,127841.61
筹资活动产生的现金流量净额,1,item,-192770.31,-242351.90,-111233.87,14058.39
四、汇率变动对现金及现金等价物的影响,0,item,619.19,-5555.16,-1788.75,-585.57
五、现金及现金等价物净增加额,0,item,-48241.08,-182542.04,-227614.21,-192427.70
加:期初现金及现金等价物余额,1,item,481659.31,481650.15,481650.15,481650.15
六、期末现金及现金等价物余额,0,item,433418.22,299108.12,254035.94,289222.45
附注,0,section
净利润,1,item,104886.04,--,144321.07,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,19441.31,--,15835.39,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,111775.78,--,56210.58,--
无形资产摊销,1,item,2853.77,--,1368.22,--
长期待摊费用摊销,1,item,218.89,--,106.77,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,2378.90,--,0.28,--
固定资产报废损失,1,item,18938.90,--,17.36,--
公允价值变动损失,1,item,-1297.91,--,-1904.17,--
递延收益增加（减：减少）,1,item,-1318.10,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,20950.89,--,10272.58,--
投资损失,1,item,-31733.95,--,-10448.47,--
递延所得税资产减少,1,item,-6507.06,--,-364.40,--
递延所得税负债增加,1,item,86.97,--,-1226.42,--
存货的减少,1,item,2306.27,--,10.67,--
经营性应收项目的减少,1,item,353451.15,--,-134444.17,--
经营性应付项目的增加,1,item,-586121.15,--,-274048.40,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,--,--,279044.23,--
经营活动产生现金流量净额,1,item,7810.58,--,75084.26,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,433418.22,--,254035.94,--
现金的期初余额,1,item,481659.31,--,481650.15,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,-48241.08,--,-227614.21,--
