科目,层级,类型,2022-12-31,2022-09-30,2022-06-30,2022-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,41036528.35,30998705.98,20395487.56,9703712.16
收到的税费返还,1,item,177581.00,179227.78,58958.67,5702.21
收到的其他与经营活动有关的现金,1,item,190241.13,122073.05,70272.01,242343.06
经营活动现金流入小计,1,total,42556738.23,31767930.16,21366812.66,10268666.65
购买商品、接受劳务支付的现金,1,item,35018824.35,26553130.39,17835424.60,8330871.50
支付给职工以及为职工支付的现金,1,item,1612181.76,1078937.27,735591.46,397071.70
支付的各项税费,1,item,940233.87,895931.69,650900.61,255271.21
支付的其他与经营活动有关的现金,1,item,288388.06,624118.89,400785.24,70541.54
经营活动现金流出小计,1,total,38084841.95,29381858.22,19911838.21,9378790.47
经营活动产生的现金流量净额,1,item,4471896.28,2386071.94,1454974.45,889876.17
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,6495160.32,5049330.86,3477969.80,1006069.07
取得投资收益所收到的现金,1,item,241709.41,198877.08,93775.41,9090.29
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,98498.10,28203.69,13307.61,840.96
收到的其他与投资活动有关的现金,1,item,33916.14,20835.04,9088.80,4654.54
投资活动现金流入小计,1,total,6869283.97,5297246.67,3594141.62,1020654.86
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,2242295.16,1569966.72,958154.75,522691.42
投资所支付的现金,1,item,7236045.25,5316515.39,3422254.82,1499464.41
支付的其他与投资活动有关的现金,1,item,4932.08,5403.96,3211.62,4299.38
投资活动现金流出小计,1,total,9488382.50,6895228.43,4382853.54,2026455.22
投资活动产生的现金流量净额,1,item,-2619098.53,-1597981.76,-788711.92,-1005800.35
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,268342.60,233742.72,233742.72,15190.00
其中：子公司吸收少数股东投资收到的现金,1,item,107780.35,73180.35,73180.35,15190.00
取得借款收到的现金,1,item,4005715.87,3756690.07,3337451.56,874442.91
发行债券收到的现金,1,item,2150000.00,2150000.00,1750000.00,1400000.00
收到其他与筹资活动有关的现金,1,item,16232.43,5173.79,5173.79,--
筹资活动现金流入小计,1,total,6440290.90,6145606.59,5326368.07,2289632.91
偿还债务支付的现金,1,item,6462062.96,5578528.71,4193197.56,1615306.21
分配股利、利润或偿付利息所支付的现金,1,item,1271570.35,845515.03,696406.88,61643.79
其中：子公司支付给少数股东的股利、利润,1,item,162848.26,138601.56,61915.39,--
支付其他与筹资活动有关的现金,1,item,80623.23,55538.24,12206.65,7342.21
筹资活动现金流出小计,1,total,7814256.53,6479581.98,4901811.10,1684292.21
筹资活动产生的现金流量净额,1,item,-1373965.63,-333975.39,424556.98,605340.69
四、汇率变动对现金及现金等价物的影响,0,item,-7207.50,4292.02,-1703.71,-7509.30
五、现金及现金等价物净增加额,0,item,471624.62,458406.80,1089115.80,481907.21
加:期初现金及现金等价物余额,1,item,1706764.00,1706764.00,1706764.00,1706764.00
六、期末现金及现金等价物余额,0,item,2178388.62,2165170.80,2795879.80,2188671.21
附注,0,section
净利润,1,item,1402891.59,--,903113.49,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,108443.62,--,75491.74,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,--,--,947163.79,--
无形资产摊销,1,item,47345.17,--,24158.95,--
长期待摊费用摊销,1,item,20347.19,--,9746.77,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,-75232.61,--,1926.18,--
固定资产报废损失,1,item,51455.44,--,26709.67,--
公允价值变动损失,1,item,-5233.26,--,-14113.92,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,148673.57,--,86054.21,--
投资损失,1,item,-502355.39,--,-270761.88,--
递延所得税资产减少,1,item,-57775.56,--,-35735.14,--
递延所得税负债增加,1,item,6127.53,--,7536.19,--
存货的减少,1,item,276725.00,--,-840050.66,--
经营性应收项目的减少,1,item,-153792.67,--,-760256.26,--
经营性应付项目的增加,1,item,1278089.51,--,1274814.10,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,--,--,--,--
经营活动产生现金流量净额,1,item,4471896.28,--,1454974.45,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,2178388.62,--,2795879.80,--
现金的期初余额,1,item,1706764.00,--,1706764.00,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,471624.62,--,1089115.80,--
