科目,层级,类型,2018-12-31,2018-09-30,2018-06-30,2018-03-31
一、营业总收入,0,item,5696330.20,4078795.03,2519479.52,1250458.00
营业收入,1,item,5696330.20,4078795.03,2519479.52,1250458.00
二、营业总成本,0,item,5044546.74,3568969.60,2242094.42,1147859.91
营业成本,1,item,4876822.98,3468273.39,2176256.01,1120881.80
营业税金及附加,1,item,36473.94,28544.48,18655.15,9247.56
销售费用,1,item,29414.42,20685.60,13425.02,6427.58
管理费用,1,item,31193.20,22129.20,22331.04,6003.92
财务费用,1,item,14730.54,7647.23,8426.37,2215.92
研发费用,1,item,53345.04,18987.79,--,--
资产减值损失,1,item,2566.63,2701.92,3000.83,3083.13
公允价值变动收益,1,item,-4.03,-7.88,-15.64,-119.22
投资收益,1,item,4511.40,2288.53,1458.94,298.30
其中:对联营企业和合营企业的投资收益,1,item,1164.95,503.24,548.93,298.81
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,667466.09,521096.42,285567.40,105841.13
加:营业外收入,1,item,306.23,192.01,147.66,66.18
减：营业外支出,1,item,3985.41,555.08,515.66,232.53
其中：非流动资产处置损失,1,item,--,--,103.27,--
四、利润总额,0,item,663786.91,520733.35,285199.40,105674.77
减：所得税费用,1,item,72461.04,125329.03,68704.95,18396.55
五、净利润,0,item,591325.87,395404.31,216494.45,87278.21
归属于母公司所有者的净利润,1,item,590512.54,394828.47,215876.01,86983.99
少数股东损益,1,item,813.33,575.84,618.44,294.22
六、每股收益,0,section
基本每股收益(元/股),1,item,1.8519,1.2380,0.6770,0.2730
稀释每股收益(元/股),1,item,1.8519,1.2380,0.6770,0.2660
七、其他综合收益,0,item,658.23,887.63,107.70,-654.27
八、综合收益总额,0,item,591984.11,396291.95,216602.15,86623.95
归属于母公司所有者的综合收益总额,1,item,591170.77,395716.11,215983.70,86329.72
归属于少数股东的综合收益总额,1,item,813.33,575.84,618.44,294.22
