科目,层级,类型,2020-12-31,2020-09-30,2020-06-30,2020-03-31
一、营业总收入,0,item,7241193.47,5192758.31,3187811.91,1481353.96
营业收入,1,item,7241193.47,5192758.31,3187811.91,1481353.96
二、营业总成本,0,item,6955793.61,5007732.82,3078665.96,1432802.89
营业成本,1,item,6812306.06,4897446.86,3002588.14,1400242.03
营业税金及附加,1,item,24123.14,17577.84,11191.42,5432.26
销售费用,1,item,13354.37,25419.77,15966.91,7511.88
管理费用,1,item,40751.02,26962.35,20702.16,6751.94
财务费用,1,item,2253.90,1679.65,4353.25,4583.53
研发费用,1,item,63005.13,38646.37,23864.08,8281.24
资产减值损失,1,item,--,--,--,--
公允价值变动收益,1,item,338.00,1194.57,617.59,337.42
投资收益,1,item,40373.52,28525.74,17299.70,11364.91
其中:对联营企业和合营企业的投资收益,1,item,1309.31,869.73,558.35,253.22
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,343669.96,227745.71,135133.68,61721.47
加:营业外收入,1,item,2039.96,1856.60,1792.03,74.78
减：营业外支出,1,item,16751.62,716.24,632.96,601.31
其中：非流动资产处置损失,1,item,--,--,--,--
四、利润总额,0,item,328958.30,228886.07,136292.75,61194.94
减：所得税费用,1,item,54337.21,37198.23,25331.74,9348.77
五、净利润,0,item,274621.09,191687.84,110961.01,51846.17
归属于母公司所有者的净利润,1,item,270018.54,188691.21,109371.83,51410.23
少数股东损益,1,item,4602.54,2996.63,1589.19,435.94
六、每股收益,0,section
基本每股收益(元/股),1,item,0.8500,0.5900,0.3430,0.1600
稀释每股收益(元/股),1,item,0.8500,0.5900,0.3430,0.1600
七、其他综合收益,0,item,-1401.34,-557.53,306.86,327.92
八、综合收益总额,0,item,273219.75,191130.32,111267.88,52174.09
归属于母公司所有者的综合收益总额,1,item,268617.20,188133.68,109678.69,51738.15
归属于少数股东的综合收益总额,1,item,4602.54,2996.63,1589.19,435.94
