科目,层级,类型,2020-12-31,2020-09-30,2020-06-30,2020-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,7144437.73,3692364.66,2471558.40,1106465.17
收到的税费返还,1,item,9841.56,7950.01,5535.27,2839.46
收到的其他与经营活动有关的现金,1,item,722171.17,347271.88,232717.35,214850.12
经营活动现金流入小计,1,total,7876450.46,4047586.54,2709811.03,1324154.75
购买商品、接受劳务支付的现金,1,item,6181345.51,2775932.10,1754160.85,882598.92
支付给职工以及为职工支付的现金,1,item,266456.08,214874.92,126730.01,65512.98
支付的各项税费,1,item,227174.77,244773.79,204516.07,87664.59
支付的其他与经营活动有关的现金,1,item,843918.73,429251.04,279371.68,101198.45
经营活动现金流出小计,1,total,7518895.09,3664831.84,2364778.61,1136974.94
经营活动产生的现金流量净额,1,item,357555.38,382754.70,345032.42,187179.81
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,1697167.33,952912.13,599001.58,339001.58
取得投资收益所收到的现金,1,item,41620.10,26127.00,16734.25,6911.69
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,4.53,4.62,--,--
收到的其他与投资活动有关的现金,1,item,--,4095.51,--,--
投资活动现金流入小计,1,total,1738791.96,983139.26,615735.83,345913.27
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,96433.19,67952.00,46561.28,27030.19
投资所支付的现金,1,item,1793430.00,1292429.92,776930.00,386900.00
支付的其他与投资活动有关的现金,1,item,--,--,--,--
投资活动现金流出小计,1,total,1889863.19,1360381.92,823491.28,413930.19
投资活动产生的现金流量净额,1,item,-151071.23,-377242.66,-207755.45,-68016.92
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,--,--,--,--
其中：子公司吸收少数股东投资收到的现金,1,item,--,--,--,--
取得借款收到的现金,1,item,649115.55,465659.87,291404.15,111584.29
发行债券收到的现金,1,item,--,--,--,--
收到其他与筹资活动有关的现金,1,item,9734.09,3947.20,--,3947.20
筹资活动现金流入小计,1,total,658849.64,469607.08,291404.15,115531.49
偿还债务支付的现金,1,item,713936.73,435556.59,283409.97,103250.37
分配股利、利润或偿付利息所支付的现金,1,item,79313.17,77541.21,74325.33,3183.84
其中：子公司支付给少数股东的股利、利润,1,item,--,479.04,--,--
支付其他与筹资活动有关的现金,1,item,15996.98,479.04,239.43,177.98
筹资活动现金流出小计,1,total,809246.87,513576.83,357974.74,106612.19
筹资活动产生的现金流量净额,1,item,-150397.23,-43969.76,-66570.58,8919.30
四、汇率变动对现金及现金等价物的影响,0,item,-1196.27,-5201.94,-1499.21,843.05
五、现金及现金等价物净增加额,0,item,54890.64,-43659.66,69207.18,128925.24
加:期初现金及现金等价物余额,1,item,386686.16,386686.16,386686.16,386686.16
六、期末现金及现金等价物余额,0,item,441576.80,343026.50,455893.34,515611.40
附注,0,section
净利润,1,item,274621.09,--,110961.01,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,194.22,--,625.24,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,99026.95,--,50036.55,--
无形资产摊销,1,item,2370.06,--,1197.82,--
长期待摊费用摊销,1,item,--,--,--,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,148.94,--,145.41,--
固定资产报废损失,1,item,15837.84,--,17.85,--
公允价值变动损失,1,item,-338.00,--,-617.59,--
递延收益增加（减：减少）,1,item,-1935.88,--,-482.77,--
预计负债,1,item,--,--,--,--
财务费用,1,item,33653.23,--,4353.25,--
投资损失,1,item,-40373.52,--,-17299.70,--
递延所得税资产减少,1,item,2019.82,--,232.07,--
递延所得税负债增加,1,item,-64.40,--,26.18,--
存货的减少,1,item,-123288.15,--,-3861.83,--
经营性应收项目的减少,1,item,-194411.25,--,19914.64,--
经营性应付项目的增加,1,item,294672.87,--,181149.29,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,--,--,--,--
经营活动产生现金流量净额,1,item,357555.38,--,345032.42,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,441576.80,--,455893.34,--
现金的期初余额,1,item,386686.16,--,386686.16,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,54890.64,--,69207.18,--
