科目,层级,类型,2014-12-31,2014-09-30,2014-06-30,2014-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,2096163.17,1313151.81,769172.04,334352.57
收到的税费返还,1,item,2383.01,1146.00,96.68,4.42
收到的其他与经营活动有关的现金,1,item,210135.23,98391.72,23000.66,8938.63
经营活动现金流入小计,1,total,2308681.42,1412689.52,792269.38,343295.62
购买商品、接受劳务支付的现金,1,item,1608010.09,915682.08,642156.63,302537.01
支付给职工以及为职工支付的现金,1,item,181373.41,140932.33,90201.77,28960.68
支付的各项税费,1,item,77926.36,52419.84,30033.13,14307.02
支付的其他与经营活动有关的现金,1,item,131351.92,246945.80,32834.05,21490.19
经营活动现金流出小计,1,total,1998661.78,1355980.04,795225.59,367294.90
经营活动产生的现金流量净额,1,item,310019.64,56709.48,-2956.21,-23999.28
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,6900.00,--,--,--
取得投资收益所收到的现金,1,item,84.12,43.27,43.27,--
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,315.11,312.21,310.12,--
收到的其他与投资活动有关的现金,1,item,1727.00,1818.60,1000.00,80.00
投资活动现金流入小计,1,total,9026.23,2174.09,1353.39,80.00
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,25496.65,21703.61,18002.89,2795.44
投资所支付的现金,1,item,8100.00,--,--,--
支付的其他与投资活动有关的现金,1,item,--,--,--,--
投资活动现金流出小计,1,total,33596.65,21703.61,18002.89,2795.44
投资活动产生的现金流量净额,1,item,-24570.42,-19529.52,-16649.50,-2715.44
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,490.00,--,--,--
其中：子公司吸收少数股东投资收到的现金,1,item,490.00,--,--,--
取得借款收到的现金,1,item,1275939.72,750303.23,343872.06,112300.00
发行债券收到的现金,1,item,--,--,--,--
收到其他与筹资活动有关的现金,1,item,--,--,--,1160.00
筹资活动现金流入小计,1,total,1276429.72,750303.23,343872.06,113460.00
偿还债务支付的现金,1,item,1296758.40,756320.66,343383.31,158299.50
分配股利、利润或偿付利息所支付的现金,1,item,88583.32,51551.07,28444.89,14129.54
其中：子公司支付给少数股东的股利、利润,1,item,591.07,--,--,--
支付其他与筹资活动有关的现金,1,item,392.00,--,--,--
筹资活动现金流出小计,1,total,1385733.72,807871.73,371828.20,172429.04
筹资活动产生的现金流量净额,1,item,-109304.01,-57568.49,-27956.14,-58969.04
四、汇率变动对现金及现金等价物的影响,0,item,-2779.28,2133.31,1711.49,721.11
五、现金及现金等价物净增加额,0,item,173365.93,-18255.22,-45850.36,-84962.66
加:期初现金及现金等价物余额,1,item,235327.58,235327.58,235327.58,235327.58
六、期末现金及现金等价物余额,0,item,408693.51,217072.36,189477.21,150364.92
附注,0,section
净利润,1,item,42813.62,--,-815.41,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,3115.81,--,5559.83,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,137226.70,--,68209.83,--
无形资产摊销,1,item,3035.14,--,1482.54,--
长期待摊费用摊销,1,item,--,--,--,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,-201.87,--,67.35,--
固定资产报废损失,1,item,--,--,--,--
公允价值变动损失,1,item,--,--,--,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,99906.85,--,24027.90,--
投资损失,1,item,294.92,--,167.74,--
递延所得税资产减少,1,item,2233.93,--,-98.84,--
递延所得税负债增加,1,item,-208.70,--,--,--
存货的减少,1,item,82850.09,--,35588.79,--
经营性应收项目的减少,1,item,22645.32,--,-76297.26,--
经营性应付项目的增加,1,item,-200069.66,--,-58779.89,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,116377.47,--,-2068.79,--
经营活动产生现金流量净额,1,item,310019.64,--,-2956.21,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,408693.51,--,189477.21,--
现金的期初余额,1,item,235327.58,--,235327.58,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,173365.93,--,-45850.36,--
