科目,层级,类型,2020-12-31,2020-09-30,2020-06-30,2020-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,32031965.11,21787178.61,14306893.19,6952233.52
收到的税费返还,1,item,55803.15,43656.44,27034.46,7734.61
收到的其他与经营活动有关的现金,1,item,89185.33,61987.03,38403.97,11117.85
经营活动现金流入小计,1,total,32382209.06,22040546.48,14752537.61,7071428.10
购买商品、接受劳务支付的现金,1,item,25913997.11,18425401.87,12261808.28,6048215.88
支付给职工以及为职工支付的现金,1,item,1569603.03,1045902.34,708012.07,382747.79
支付的各项税费,1,item,652746.96,471404.01,303412.07,239944.73
支付的其他与经营活动有关的现金,1,item,1088984.66,217872.61,131917.12,-153695.42
经营活动现金流出小计,1,total,29573789.87,20333695.36,13660325.85,6707084.75
经营活动产生的现金流量净额,1,item,2808419.19,1706851.12,1092211.77,364343.36
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,2828901.55,1474270.28,1008223.80,318021.72
取得投资收益所收到的现金,1,item,238728.08,182669.20,96388.39,4565.40
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,116158.04,8847.61,1777.52,117.61
收到的其他与投资活动有关的现金,1,item,21015.15,22541.82,16226.37,3523.21
投资活动现金流入小计,1,total,3210847.43,1692195.29,1122616.07,326227.95
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,1957296.15,1170739.27,718848.22,397582.53
投资所支付的现金,1,item,2538455.79,1699802.11,1210350.00,195000.00
支付的其他与投资活动有关的现金,1,item,12989.12,1285.42,3105.35,--
投资活动现金流出小计,1,total,4549620.60,2875797.55,1936274.33,592582.53
投资活动产生的现金流量净额,1,item,-1338773.17,-1183602.27,-813658.26,-266354.58
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,72448.59,66448.59,66448.59,--
其中：子公司吸收少数股东投资收到的现金,1,item,72448.59,66448.59,66448.59,--
取得借款收到的现金,1,item,9435430.21,5300000.00,5881239.52,3251167.69
发行债券收到的现金,1,item,6650000.00,7659073.13,4100000.00,1800000.00
收到其他与筹资活动有关的现金,1,item,--,--,--,--
筹资活动现金流入小计,1,total,16157878.80,13025521.72,10047688.11,5051167.69
偿还债务支付的现金,1,item,16755086.80,12322263.42,8864937.87,4207577.94
分配股利、利润或偿付利息所支付的现金,1,item,770339.87,764572.21,680253.98,79745.58
其中：子公司支付给少数股东的股利、利润,1,item,49373.98,35149.76,35149.76,--
支付其他与筹资活动有关的现金,1,item,2657.39,1271.85,1265.73,1265.73
筹资活动现金流出小计,1,total,17528084.06,13088107.48,9546457.58,4288589.25
筹资活动产生的现金流量净额,1,item,-1370205.26,-62585.77,501230.54,762578.44
四、汇率变动对现金及现金等价物的影响,0,item,20926.77,11022.87,3152.49,-704.31
五、现金及现金等价物净增加额,0,item,120367.53,471685.96,782936.54,859862.91
加:期初现金及现金等价物余额,1,item,1385845.74,1385845.74,1385845.74,1196582.53
六、期末现金及现金等价物余额,0,item,1506213.28,1857531.71,2168782.28,2056445.44
附注,0,section
净利润,1,item,1398538.33,--,449274.35,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,-80691.42,--,3790.89,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,1790239.35,--,949544.29,--
无形资产摊销,1,item,38327.94,--,18350.99,--
长期待摊费用摊销,1,item,16667.85,--,8126.61,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,-12022.77,--,--,--
固定资产报废损失,1,item,71760.02,--,28749.67,--
公允价值变动损失,1,item,6418.77,--,-18515.03,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,139383.51,--,74659.02,--
投资损失,1,item,-311241.41,--,-137006.44,--
递延所得税资产减少,1,item,15322.86,--,-15602.87,--
递延所得税负债增加,1,item,15599.76,--,8937.48,--
存货的减少,1,item,289086.40,--,-109195.28,--
经营性应收项目的减少,1,item,-828542.30,--,318173.67,--
经营性应付项目的增加,1,item,259572.30,--,-491467.76,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,--,--,--,--
经营活动产生现金流量净额,1,item,2808419.19,--,1092211.77,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,1506213.28,--,2168782.28,--
现金的期初余额,1,item,1385845.74,--,1385845.74,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,120367.53,--,782936.54,--
