科目,层级,类型,2017-12-31,2017-09-30,2017-06-30,2017-03-31
一、营业总收入,0,item,28949779.19,25213974.96,17014711.18,8512234.85
营业收入,1,item,28909290.03,25183746.95,16993250.87,8501005.24
二、营业总成本,0,item,26797794.76,23983718.17,16265158.47,8008837.87
营业成本,1,item,24842510.24,22440630.85,15278896.68,7492956.03
营业税金及附加,1,item,187990.44,142302.72,93447.16,45178.90
销售费用,1,item,336645.20,230973.25,159050.43,74119.12
管理费用,1,item,963197.55,762798.48,455602.73,232148.77
财务费用,1,item,337041.85,282506.68,198990.53,84014.90
研发费用,1,item,--,--,--,--
资产减值损失,1,item,112529.11,111422.12,69955.64,74879.73
公允价值变动收益,1,item,-18414.47,-14089.69,-754.82,-1487.98
投资收益,1,item,304227.12,262524.62,139576.83,41620.88
其中:对联营企业和合营企业的投资收益,1,item,67262.99,54308.65,41577.87,19784.08
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,2492417.04,1509023.41,897164.27,543529.88
加:营业外收入,1,item,27452.64,25091.61,15210.68,13013.02
减：营业外支出,1,item,116356.67,81112.19,60978.31,51996.83
其中：非流动资产处置损失,1,item,--,71924.78,55935.06,49867.81
四、利润总额,0,item,2403513.01,1453002.83,851396.64,504546.07
减：所得税费用,1,item,363199.29,201002.13,177487.82,87843.12
五、净利润,0,item,2040313.72,1252000.70,673908.82,416702.95
归属于母公司所有者的净利润,1,item,1917033.76,1166834.33,616957.52,378615.48
少数股东损益,1,item,123279.96,85166.36,56951.30,38087.48
六、每股收益,0,section
基本每股收益(元/股),1,item,0.8600,0.5300,0.2800,0.1700
稀释每股收益(元/股),1,item,0.8600,0.5300,0.2800,0.1700
七、其他综合收益,0,item,-1845.45,14239.36,4558.19,12361.48
八、综合收益总额,0,item,2038468.27,1266240.06,678467.01,429064.43
归属于母公司所有者的综合收益总额,1,item,1915188.52,1181096.23,621421.07,390304.86
归属于少数股东的综合收益总额,1,item,123279.75,85143.83,57045.94,38759.57
