科目,层级,类型,2017-12-31,2017-09-30,2017-06-30,2017-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,31911690.36,27846321.73,18725027.96,8950170.36
收到的税费返还,1,item,78204.79,63256.27,32747.91,19596.59
收到的其他与经营活动有关的现金,1,item,225131.96,157613.25,118389.90,44460.91
经营活动现金流入小计,1,total,32295877.85,28139452.82,18990909.46,9078221.78
购买商品、接受劳务支付的现金,1,item,25313343.43,23807175.02,16093697.17,7914942.33
支付给职工以及为职工支付的现金,1,item,1446620.61,979581.56,638717.54,323423.32
支付的各项税费,1,item,1419484.64,1155375.04,759267.11,271908.91
支付的其他与经营活动有关的现金,1,item,586912.43,453195.20,349307.37,165924.58
经营活动现金流出小计,1,total,28988150.49,26826614.55,18336770.40,8883221.70
经营活动产生的现金流量净额,1,item,3307727.36,1312838.28,654139.06,195000.08
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,10268228.66,7233358.89,3551570.23,1094563.22
取得投资收益所收到的现金,1,item,186498.83,150074.39,113451.22,29676.13
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,36831.84,19053.39,15389.05,7504.61
收到的其他与投资活动有关的现金,1,item,480980.55,476242.70,473183.50,4821.95
投资活动现金流入小计,1,total,10972539.88,7725596.24,4149316.67,1136565.91
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,1327688.52,885924.54,598213.91,298243.95
投资所支付的现金,1,item,10644559.88,7215052.59,3895759.05,1434153.65
支付的其他与投资活动有关的现金,1,item,18259.15,11704.60,8186.00,2575.00
投资活动现金流出小计,1,total,12144889.91,8112681.73,4502158.96,1734972.60
投资活动产生的现金流量净额,1,item,-1172350.02,-387085.49,-352842.29,-598406.70
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,158987.14,92422.69,19779.37,3507.40
其中：子公司吸收少数股东投资收到的现金,1,item,92422.69,92422.69,19779.37,3507.40
取得借款收到的现金,1,item,9950263.85,7735829.64,5799375.00,3087648.84
发行债券收到的现金,1,item,671200.00,600000.00,600000.00,600000.00
收到其他与筹资活动有关的现金,1,item,7797.08,7797.08,--,--
筹资活动现金流入小计,1,total,10788248.07,8436049.42,6419154.37,3691156.24
偿还债务支付的现金,1,item,11335875.07,8301507.16,5567440.98,2837248.93
分配股利、利润或偿付利息所支付的现金,1,item,840541.09,753471.96,664145.31,79077.96
其中：子公司支付给少数股东的股利、利润,1,item,31251.34,11852.04,11852.04,--
支付其他与筹资活动有关的现金,1,item,50000.00,37500.00,25000.00,12500.00
筹资活动现金流出小计,1,total,12226416.15,9092479.11,6256586.29,2928826.88
筹资活动产生的现金流量净额,1,item,-1438168.08,-656429.69,162568.08,762329.36
四、汇率变动对现金及现金等价物的影响,0,item,-8135.73,1694.88,5494.61,4893.38
五、现金及现金等价物净增加额,0,item,689073.52,271017.96,469359.46,363816.13
加:期初现金及现金等价物余额,1,item,1302157.40,1293114.41,1293114.41,1293114.41
六、期末现金及现金等价物余额,0,item,1991230.92,1564132.37,1762473.87,1656930.54
附注,0,section
净利润,1,item,2040313.72,--,673908.82,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,112529.11,--,69955.64,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,1772187.33,--,888761.27,--
无形资产摊销,1,item,50206.29,--,24196.76,--
长期待摊费用摊销,1,item,12919.05,--,5142.11,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,84601.04,--,43981.22,--
固定资产报废损失,1,item,--,--,--,--
公允价值变动损失,1,item,18414.47,--,754.82,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,330657.57,--,195085.47,--
投资损失,1,item,-304227.12,--,-139576.83,--
递延所得税资产减少,1,item,-14856.21,--,-9548.92,--
递延所得税负债增加,1,item,-702.88,--,-2255.95,--
存货的减少,1,item,673453.19,--,288519.38,--
经营性应收项目的减少,1,item,-1368661.98,--,-468744.83,--
经营性应付项目的增加,1,item,-99106.22,--,-916039.89,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,--,--,--,--
经营活动产生现金流量净额,1,item,3307727.36,--,654139.06,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,1632839.02,--,1762473.87,--
现金的期初余额,1,item,1302157.40,--,1293114.41,--
现金等价物的期末余额,1,item,358391.90,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,689073.52,--,469359.46,--
