科目,层级,类型,2019-12-31,2019-09-30,2019-06-30,2019-03-31
一、营业总收入,0,item,5790357.47,4132446.56,2637636.45,1350455.87
营业收入,1,item,5790357.47,4132446.56,2637636.45,1350455.87
二、营业总成本,0,item,5436064.70,3836742.17,2430356.30,1269136.46
营业成本,1,item,5271341.26,3737032.96,2358772.76,1229939.07
营业税金及附加,1,item,23292.75,19112.15,13736.29,7842.48
销售费用,1,item,35663.77,24584.12,16053.48,8028.70
管理费用,1,item,35383.59,23843.65,17864.62,6320.42
财务费用,1,item,18468.64,-5267.94,-1221.20,834.88
研发费用,1,item,51914.69,37437.24,25150.35,12682.69
资产减值损失,1,item,--,--,--,3488.21
公允价值变动收益,1,item,869.29,4.03,5.45,7.60
投资收益,1,item,38577.14,4481.08,3678.09,2356.94
其中:对联营企业和合营企业的投资收益,1,item,1139.43,943.23,558.90,341.90
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,403191.05,305359.49,212242.41,86067.95
加:营业外收入,1,item,1058.11,2006.97,1281.89,46.21
减：营业外支出,1,item,6689.62,73.99,58.36,13.41
其中：非流动资产处置损失,1,item,--,--,--,--
四、利润总额,0,item,397559.54,307292.47,213465.94,86100.74
减：所得税费用,1,item,54565.91,41573.85,28707.69,11005.88
五、净利润,0,item,342993.62,265718.62,184758.25,75094.86
归属于母公司所有者的净利润,1,item,341394.47,264681.83,183913.68,74937.47
少数股东损益,1,item,1599.15,1036.80,844.57,157.40
六、每股收益,0,section
基本每股收益(元/股),1,item,1.0700,0.8300,0.5770,0.2400
稀释每股收益(元/股),1,item,1.0700,0.8300,0.5770,0.2400
七、其他综合收益,0,item,471.77,516.34,39.01,-293.34
八、综合收益总额,0,item,343465.39,266234.97,184797.26,74801.53
归属于母公司所有者的综合收益总额,1,item,341866.24,265198.17,183952.68,74644.13
归属于少数股东的综合收益总额,1,item,1599.15,1036.80,844.57,157.40
