科目,层级,类型,2023-12-31,2023-09-30,2023-06-30,2023-03-31
一、营业总收入,0,item,7114297.89,6228263.58,4486841.40,2287406.47
营业收入,1,item,7114297.89,6228263.58,4486841.40,2287406.47
二、营业总成本,0,item,7148037.32,6223584.66,4479386.66,2299990.41
营业成本,1,item,6979349.61,6106724.46,4415375.67,2266301.43
营业税金及附加,1,item,20956.15,15384.55,9181.13,4381.91
销售费用,1,item,11358.56,8246.90,6019.07,3306.76
管理费用,1,item,68744.27,24835.65,8137.23,3137.00
财务费用,1,item,-3754.10,-1850.26,-4143.86,5731.34
研发费用,1,item,71382.83,70243.37,44817.43,17131.97
资产减值损失,1,item,--,--,--,--
公允价值变动收益,1,item,186.03,186.03,186.03,186.03
投资收益,1,item,73818.91,46186.58,27114.93,23153.68
其中:对联营企业和合营企业的投资收益,1,item,1360.26,1318.79,1016.63,542.56
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,55997.06,62130.50,38381.16,13270.89
加:营业外收入,1,item,5824.38,3719.78,3248.78,332.23
减：营业外支出,1,item,5911.05,148.65,141.14,20.46
其中：非流动资产处置损失,1,item,--,--,--,--
四、利润总额,0,item,55910.39,65701.63,41488.80,13582.66
减：所得税费用,1,item,4207.67,17930.64,12215.94,4385.10
五、净利润,0,item,51702.72,47770.99,29272.86,9197.55
归属于母公司所有者的净利润,1,item,49774.32,47647.06,29513.84,9568.42
少数股东损益,1,item,1928.40,123.93,-240.98,-370.86
六、每股收益,0,section
基本每股收益(元/股),1,item,0.1600,0.1510,0.0900,0.0310
稀释每股收益(元/股),1,item,0.1600,0.1510,0.0900,0.0310
七、其他综合收益,0,item,1116.96,875.75,1332.45,-358.96
八、综合收益总额,0,item,52819.68,48646.74,30605.31,8838.60
归属于母公司所有者的综合收益总额,1,item,50891.28,48522.81,30846.29,9209.46
归属于少数股东的综合收益总额,1,item,1928.40,123.93,-240.98,-370.86
