科目,层级,类型,2014-12-31,2014-09-30,2014-06-30,2014-03-31
一、营业总收入,0,item,3237029.40,2669788.45,1632560.87,853199.66
营业收入,1,item,3237029.40,2669788.45,1632560.87,853199.66
二、营业总成本,0,item,3198146.86,2653934.34,1634491.73,856503.00
营业成本,1,item,3003032.62,2526784.10,1545286.21,820697.57
营业税金及附加,1,item,10885.60,7484.11,5201.66,814.14
销售费用,1,item,44403.64,33157.54,23181.81,8024.44
管理费用,1,item,91860.52,48068.46,31234.31,14097.87
财务费用,1,item,44848.67,32615.37,24027.90,12797.63
研发费用,1,item,--,--,--,--
资产减值损失,1,item,3115.81,5824.76,5559.83,71.35
公允价值变动收益,1,item,--,--,--,--
投资收益,1,item,-294.92,-270.32,-167.74,-48.09
其中:对联营企业和合营企业的投资收益,1,item,-335.77,--,-167.74,--
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,38587.62,15583.79,-2098.59,-3351.43
加:营业外收入,1,item,9983.13,5358.86,2160.84,1350.15
减：营业外支出,1,item,2006.22,1907.48,210.81,79.69
其中：非流动资产处置损失,1,item,112.76,78.11,67.35,--
四、利润总额,0,item,46564.53,19035.18,-148.56,-2080.97
减：所得税费用,1,item,3750.91,3634.96,666.84,-170.49
五、净利润,0,item,42813.62,15400.22,-815.41,-1910.48
归属于母公司所有者的净利润,1,item,40642.94,13559.50,-1898.41,-2220.74
少数股东损益,1,item,2170.68,1840.72,1083.01,310.26
六、每股收益,0,section
基本每股收益(元/股),1,item,0.2900,0.1000,-0.0100,-0.0200
稀释每股收益(元/股),1,item,0.2900,0.1000,-0.0100,-0.0200
七、其他综合收益,0,item,22.76,--,54.94,--
八、综合收益总额,0,item,42836.37,--,-760.46,--
归属于母公司所有者的综合收益总额,1,item,40665.70,--,-1843.47,--
归属于少数股东的综合收益总额,1,item,2170.68,--,1083.01,--
